aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20140102000139I,02-JAN-14,FREEPORT,IL,ALBERTUS,INCIDENT,NONE,LANDING: APPROACH,CESSNA,CE-182,CE-182-R,NULL,NULL,GENERAL OPERATING RULES,NULL,2696C,0,0,LYCOMI,0-540 SERIES ,NULL,1,PRIVATE PILOT,250,10,NULL,NULL
20140103000039I,03-JAN-14,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,BEECH,BE-200,BE-200-B200,GRANT AVIATION INC,NULL,AIR TAXI/COMMUTER,NULL,24GN ,0,0,P&W   ,PT6 SERIES   ,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,13834,6144,NULL,NULL
20140103002349I,03-JAN-14,DENTON,TX,DENTON MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,GATES,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,500ZA,0,0,NONE  ,NONE         ,NULL,2,AIRLINE TRANSPORT,14000,1000,NULL,NULL
20140104003069I,04-JAN-14,MACUNGIE,PA,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CESSNA,CE-150,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,150EC,0,0,CONTIN,0-200 SERIES ,0-200 ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,NULL,NULL,NULL,NULL
20140104004739I,04-JAN-14,LIBERAL,KS,LIBERAL MID-AMERICA RGNL,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-421,CE-421-C,LYDDON AERO CENTER INC,NULL,GENERAL OPERATING RULES,NULL,648SB,0,0,CONT M,GTSIO-520 SER,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2600,117,NULL,NULL
20140106000409I,06-JAN-14,MULBERRY,FL,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CESSNA,CE-210,CE-210-P210N,NULL,NULL,GENERAL OPERATING RULES,NULL,210PF,0,0,CONT M,TSIO-520 SER ,N/A   ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1905,NULL,NULL,NULL
20140106001449I,06-JAN-14,TOMBALL,TX,DAVID WAYNE HOOKS MEMORIAL,INCIDENT,MINOR,TAXI,EMBRAER,NULL,NULL,FLIGHT OPTIONS LLC,NULL,AIR TAXI/COMMUTER,NULL,908FL,0,0,ROLLS-,AE3007 SER   ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,9000,5000,NULL,NULL
20140106002919I,06-JAN-14,BAKERSFIELD,CA,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,BEECH,BE-36,BE-36-A36,NULL,NULL,GENERAL OPERATING RULES,NULL,821V ,0,0,CONTIN,IO-550       ,B     ,1,NULL,NULL,NULL,NULL,NULL
20140107000049I,07-JAN-14,ANCHORAGE,AK,MERRILL FIELD,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,CESSNA,CE-172,CE-172-RG,LAND AND SEA AVIATION,NULL,GENERAL OPERATING RULES,NULL,9553B,0,0,LYCOMI,O&VO-360 SER ,O-360 ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,720,30,NULL,NULL
20140108000019I,08-JAN-14,ODESSA,TX,ODESSA-SCHLEMEYER FIELD,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,NULL,NULL,NULL,NULL,NULL,ULTRALIGHT VEHICLES,NULL,NONE ,0,0,NULL,NULL,NULL,NULL,NULL,20,20,NULL,NULL
20140108000109I,08-JAN-14,GREAT FALLS,MT,GREAT FALLS INTL,INCIDENT,MINOR,TAXI,RAYTHEON,1900,C-1,ALPINE AVIATION INC,NULL,AIR TAXI/COMMUTER,NULL,153GA,0,0,P&W CA,PT6A-60A     ,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,3580,150,NULL,NULL
20140108001149I,08-JAN-14,NAPLES,FL,NAPLES MUNI,INCIDENT,NONE,LANDING: APPROACH,DIAMOND,DIAMOND-40,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,801KC,0,0,THIELE,TAE 125-02-99,UNKNOW,NULL,AIRLINE TRANSPORT,1800,80,NULL,NULL
20140108003309I,08-JAN-14,FAIRBANKS,AK,FAIRBANKS INTL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,DE HAVILLAND-BOMBARDIER,DHC-2,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,5315G,0,0,P&W   ,R-985 SERIES ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,5000,400,NULL,NULL
20140109000069I,09-JAN-14,OXFORD,CT,WATERBURY-OXFORD,INCIDENT,MINOR,TAXI,CESSNA,CE-172,CE-172-M,NULL,NULL,GENERAL OPERATING RULES,NULL,73101,0,0,LYCOMI,0-320 SERIES ,NULL,1,PRIVATE PILOT,3300,3300,NULL,NULL
20140109000319I,09-JAN-14,PETALUMA,CA,PETALUMA MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,AEROPRO,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,220BJ,0,0,ROTAX ,912ULS       ,NULL,NULL,PRIVATE PILOT,127,50,NULL,NULL
20140110000179I,10-JAN-14,WARWICK,RI,THEODORE FRANCIS GREEN STATE,INCIDENT,MINOR,GROUND-RAMP,AIRBUS,A319,112,US AIRWAYS INC,NULL,AIR CARRIER/COMMERCIAL,NULL,765US,0,0,CFM IN,CFM56 SERIES ,UNKNOW,NULL,NULL,NULL,NULL,NULL,NULL
20140110000329I,10-JAN-14,BYRON,CA,BYRON,INCIDENT,MINOR,DESCENT,BEECH,BE-35,BE-35-33,NULL,NULL,GENERAL OPERATING RULES,NULL,808R ,0,0,CONT M,I0-470 SERIES,NULL,NULL,COMMERCIAL PILOT,1544,14,NULL,NULL
20140110000571I,10-JAN-14,WEST PALM BEACH,FL,PALM BEACH INTL,INCIDENT,MINOR,GROUND-RAMP,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,NONE ,0,0,NULL,NULL,NULL,NULL,UNKNOWN/FOREIGN,NULL,NULL,NULL,NULL
20140111000059I,11-JAN-14,DAYTON,TN,MARK ANTON,INCIDENT,MINOR,TAKEOFF: ROTATION,MOONEY,M-20,M-20-J,NULL,NULL,GENERAL OPERATING RULES,NULL,195ER,0,0,LYCOMI,I0360 SER A&C,NULL,1,PRIVATE PILOT,315,134,NULL,NULL
20140111000339I,11-JAN-14,OAKLAND,CA,METROPOLITAN OAKLAND INTL,INCIDENT,MINOR,TAXI,BLANCA,BL-17,BL-17-30,NULL,NULL,GENERAL OPERATING RULES,NULL,6665V,0,0,CONT M,IO 520 SERIES,NULL,NULL,PRIVATE PILOT,1844,588,NULL,NULL
20140111002979I,11-JAN-14,MESQUITE,NV,MESQUITE,INCIDENT,NONE,OTHER-SPECIFY,CESSNA,CE-208,NULL,NULL,NULL,PARACHUTE JUMPING,NULL,801JA,0,2,P&W   ,PT6A SERIES  ,114A  ,1,NULL,NULL,NULL,NULL,NULL
20140111003152I,11-JAN-14,PHOENIX,AZ,PHOENIX DEER VALLEY,INCIDENT,MINOR,RUN-UP AREA,PIPER,PA-28,PA-28-181,FLIGHT QUEST AVIATION INC,NULL,GENERAL OPERATING RULES,NULL,923PA,0,0,LYCOMI,0-360-A1D    ,NULL,NULL,PRIVATE PILOT FLIGHT INSTRUCTOR,1380,900,NULL,NULL
20140111003172I,11-JAN-14,PHOENIX,AZ,PHOENIX DEER VALLEY,INCIDENT,MINOR,RUN-UP AREA,PIPER,PA-28,PA-28-181,FLIGHT QUEST AVIATION INC,NULL,GENERAL OPERATING RULES,NULL,918PA,0,0,LYCOMI,I0360 SER A&C,NULL,NULL,STUDENT,43,43,NULL,NULL
20140111015601I,11-JAN-14,BORREGO SPRINGS,CA,BORREGO VALLEY,INCIDENT,SUBSTANTIAL,TAXI,PIPER,PA-18,PA-18-150,NULL,NULL,GENERAL OPERATING RULES,NULL,838JW,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,19000,2800,NULL,NULL
20140112000549I,12-JAN-14,LYNCHBURG,VA,FALWELL,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-172,CE-172-N,NULL,NULL,GENERAL OPERATING RULES,NULL,5396D,0,0,LYCOMI,0-320 SERIES ,NULL,1,PRIVATE PILOT,150,140,NULL,NULL
20140113000129I,13-JAN-14,BARTLESVILLE,OK,BARTLESVILLE MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,BEECH,BE-23,BE-23-C24R,NULL,NULL,GENERAL OPERATING RULES,NULL,18938,0,0,LYCOMI,I0360 SER    ,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,550,25,NULL,NULL
20140113000439I,13-JAN-14,DETROIT,MI,DETROIT METROPOLITAN WAYNE COUNTY,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,EMBRAER,170,200,SHUTTLE AMERICA CORPORATION,NULL,AIR CARRIER/COMMERCIAL,NULL,209JQ,0,0,GE    ,CF34-8E5     ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20140115000509I,15-JAN-14,SALT LAKE CITY,UT,SALT LAKE CITY INTL,INCIDENT,MINOR,DESCENT,CESSNA,CE-210,CE-210-C,NULL,NULL,GENERAL OPERATING RULES,NULL,3621Y,0,0,CONT M,I0-520       ,A     ,1,PRIVATE PILOT,800,500,NULL,NULL
20140115000669I,15-JAN-14,GRANBURY,TX,GRANBURY RGNL,INCIDENT,SUBSTANTIAL,UNKNOWN,CESSNA,CE-210,CE-210-T210M,NULL,NULL,GENERAL OPERATING RULES,NULL,761DJ,0,0,CONT M,TSIO-520 SER ,NULL,1,PRIVATE PILOT,NULL,NULL,NULL,NULL
20140115001249I,15-JAN-14,BEVERLY,MA,BEVERLY MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,BLANCA,BL-7,BL-7-KCAB,NULL,NULL,GENERAL OPERATING RULES,NULL,2518Z,0,0,LYCOMI,AEIO-360 SER ,NULL,1,PRIVATE PILOT,850,35,NULL,NULL
20140115001689I,15-JAN-14,CHAMBLEE,GA,DEKALB-PEACHTREE,INCIDENT,MINOR,TAKEOFF: DEPARTURE,PIPER,PA-46,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,375SE,0,0,P&W CA,PT6A-42A     ,NULL,NULL,COMMERCIAL PILOT,1530,820,NULL,NULL
20140115003029I,15-JAN-14,EL MONTE,CA,EL MONTE,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-28RT,PA-28RT-201,UNIVERSAL AVIATORS ACADEMY INC,NULL,PILOT SCHOOLS,NULL,222HB,0,0,LYCOMI,I0360 SER A&C,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1086,107,NULL,NULL
20140116000679I,16-JAN-14,DENTON,TX,DENTON MUNI,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,CESSNA,CE-182,CE-182-R,US AVIATION ACADEMY,NULL,PILOT SCHOOLS,NULL,9031C,0,0,LYCOMI,0-540 SERIES ,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1130,20,NULL,NULL
