aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20110108000169I,08-JAN-11,DALLAS,TX,DALLAS/FORT WORTH INTL,INCIDENT,MINOR,TAXI,PIPER,PA-46,PA-46-350P,NULL,NULL,GENERAL OPERATING RULES,NULL,534P ,0,0,NULL,NULL,NULL,NULL,PRIVATE PILOT,452,55,NULL,NULL
20110108000569I,08-JAN-11,SALINA,KS,SALINA RGNL,INCIDENT,NONE,CLIMB,MITSUBISHI,MU-2B,MU-2B-60,NULL,NULL,GENERAL OPERATING RULES,NULL,3MA  ,0,0,AIRESE,331SER 705HP ,NULL,NULL,PRIVATE PILOT,3200,1000,NULL,NULL
20110108001249I,08-JAN-11,SEBRING,FL,SEBRING RGNL,INCIDENT,MINOR,LANDING: TOUCHDOWN,VELOCITY,UNKNOWN,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,104MW,0,0,FRANKL,6A-350SER    ,NULL,NULL,PRIVATE PILOT,534,302,NULL,NULL
20110108004959I,08-JAN-11,SANTA BARBARA,CA,SANTA BARBARA MUNI,INCIDENT,SUBSTANTIAL,LANDING: TOUCHDOWN,CESSNA,CE-172,CE-172-N,NULL,NULL,GENERAL OPERATING RULES,NULL,4637G,0,0,LYCOMI,0-320 SERIES ,NULL,1,STUDENT,NULL,NULL,NULL,NULL
20110109002719I,09-JAN-11,SEBASTIAN,FL,SEBASTIAN MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,REMOS,GX,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,208GX,0,0,ROTAX ,912ULS       ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1500,300,NULL,NULL
20110109003349I,09-JAN-11,ANCHORAGE,AK,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,PIPER,PA-31,PA-31-325,SAA LLC,NULL,GENERAL OPERATING RULES,NULL,5192Y,0,0,LYCOMI,TI0-540 SER  ,UNKNOW,NULL,COMMERCIAL PILOT,0,0,NULL,NULL
20110110000239I,10-JAN-11,NULL,NULL,NULL,INCIDENT,NONE,TAXI,LEARJET-BOMBARDIER,LEARJET 25,B,NULL,NULL,GENERAL OPERATING RULES,NULL,279LE,0,0,GE    ,CJ610-SER    ,NULL,2,AIRLINE TRANSPORT,0,0,NULL,NULL
20110112000829I,12-JAN-11,SHREVEPORT,LA,SHREVEPORT DOWNTOWN,INCIDENT,SUBSTANTIAL,LANDING: TOUCHDOWN,CESSNA,CE-310,CE-310-Q,NULL,NULL,GENERAL OPERATING RULES,NULL,71BV ,0,0,CONT M,I0-470 SERIES,NULL,2,COMMERCIAL PILOT,5100,80,NULL,NULL
20110112000959I,12-JAN-11,LAKELAND,FL,LAKELAND LINDER RGNL,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,CESSNA,CE-210,CE-210-M,NULL,NULL,GENERAL OPERATING RULES,NULL,761PY,0,0,CONT M,IO 520 SERIES,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,22079,525,NULL,NULL
20110113000349I,13-JAN-11,LOS ANGELES,CA,LOS ANGELES INTL,INCIDENT,SUBSTANTIAL,TAKEOFF: ROTATION,BOEING,757,200,AMERICAN AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,609AA,0,0,ROLLS-,RB.211 SERIES,NULL,NULL,AIRLINE TRANSPORT,0,0,NULL,NULL
20110113000359I,13-JAN-11,WICHITA,KS,WICHITA MID-CONTINENT,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-210,CE-210-P210N,NULL,NULL,GENERAL OPERATING RULES,NULL,210LF,0,0,CONT M,TSIO-520 SER ,NULL,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,7700,3000,NULL,NULL
20110113000779I,13-JAN-11,CHESHIRE,CT,NULL,INCIDENT,MINOR,DESCENT,FLIGHT DESIGN,CT,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,858CT,0,0,ROTAX ,SEE BOMBADIER,ULS   ,1,COMMERCIAL PILOT,700,80,NULL,NULL
20110114000309I,14-JAN-11,MOUNT COMFORT,IN,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,ZENAIR,CH-600,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,601LH,0,0,SUBARU,EA-81        ,NULL,NULL,PRIVATE PILOT,304,125,NULL,NULL
20110114000939I,14-JAN-11,GULFPORT,MS,GULFPORT-BILOXI INTL,INCIDENT,MINOR,TAKEOFF: DEPARTURE,LANCAIR,LC-4,LC-4-P,NULL,NULL,GENERAL OPERATING RULES,NULL,952  ,0,0,AMA/EX,UNKNOWN ENG  ,NULL,NULL,PRIVATE PILOT,5000,40,NULL,NULL
20110114001119I,14-JAN-11,JENKS,OK,RICHARD LLOYD JONES JR,INCIDENT,MINOR,OTHER-SPECIFY,BEECH,BE-76,NULL,RIVERSIDE FLIGHT CENTER,NULL,PILOT SCHOOLS,NULL,92ER ,0,0,LYCOMI,0-360-A1D    ,O-360-,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2986,1100,NULL,NULL
20110115000209I,15-JAN-11,SEVIERVILLE,TN,GATLINBURG-PIGEON FORGE,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-32,PA-32-RT300,NULL,NULL,GENERAL OPERATING RULES,NULL,30689,0,0,LYCOMI,TI0-540 SER  ,NULL,NULL,PRIVATE PILOT,118,10,NULL,NULL
20110115000279I,15-JAN-11,NULL,TN,NULL,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,SONEX,SONEX,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,926AR,0,0,AMA/EX,UNKNOWN ENG  ,AEROVE,1,PRIVATE PILOT,326,239,NULL,NULL
20110115000839I,15-JAN-11,ARLINGTON,VA,RONALD REAGAN WASHINGTON NATIONAL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,CANADAIR-BOMBARDIER,CHALLENGER,600,AIR WISCONSIN AIRLINES CORPORATION,NULL,AIR CARRIER/COMMERCIAL,NULL,437AW,0,0,NULL,NULL,NULL,NULL,AIRLINE TRANSPORT,5467,3912,NULL,NULL
20110115001149I,15-JAN-11,LINCOLN PARK,NJ,LINCOLN PARK,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-172,CE-172-RG,NULL,NULL,GENERAL OPERATING RULES,NULL,9583B,0,0,LYCOMI,O&VO-360 SER ,F1A6  ,1,PRIVATE PILOT,214,85,NULL,NULL
20110115001559I,15-JAN-11,NORTH MIAMI BEACH,FL,NULL,INCIDENT,NONE,CLIMB,PIPER,PA-25,PA-25-260,AERIAL BANNER NORTH,NULL,GENERAL OPERATING RULES,NULL,138AB,0,0,LYCOMI,0-540 SERIES ,NULL,NULL,COMMERCIAL PILOT,1125,760,NULL,NULL
20110115002179I,15-JAN-11,PLYMOUTH,NH,NULL,INCIDENT,MINOR,CLIMB,CESSNA,CE-170,CE-170-B,NULL,NULL,GENERAL OPERATING RULES,NULL,3027A,0,0,CONT M,C145 SERIES  ,NULL,1,PRIVATE PILOT,1350,0,NULL,NULL
20110116000479I,16-JAN-11,XENIA,OH,GREENE COUNTY-LEWIS A. JACKSON RGNL,INCIDENT,MINOR,DESCENT,STNSON,SR-108,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,8883K,0,0,FRANKL,6A4250       ,6A4150,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1150,610,NULL,NULL
20110116004219I,16-JAN-11,WALTERBORO,SC,LOWCOUNTRY RGNL,INCIDENT,MINOR,LANDING: TOUCHDOWN,MITSUBISHI,MU-2B,MU-2B-20,NULL,NULL,GENERAL OPERATING RULES,NULL,52CD ,0,0,AIRESE,TPE331 SERIES,NULL,NULL,PRIVATE PILOT,2000,450,NULL,NULL
20110117001319I,17-JAN-11,HAYWARD,WI,SAWYER COUNTY,INCIDENT,MINOR,LANDING: ROLLOUT,CIRRUS,CIRRUS-SR,CIRRUS-SR-22,NULL,NULL,GENERAL OPERATING RULES,NULL,215EM,0,0,CONT M,IO-550-N     ,NULL,1,AIRLINE TRANSPORT,8300,400,NULL,NULL
20110117001619I,17-JAN-11,MAQUOKETA,IA,MAQUOKETA MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,MITSUBISHI,MU-2B,MU-2B-26A,NULL,NULL,GENERAL OPERATING RULES,NULL,893SC,0,0,AIRESE,TPE331-5&6SER,5&6SER,NULL,COMMERCIAL PILOT,9238,1260,NULL,NULL
20110117002619I,17-JAN-11,OAKLAND,CA,METROPOLITAN OAKLAND INTL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,LEARJET-BOMBARDIER,LEARJET 60,NULL,S P AVIATION INC,NULL,AIR TAXI/COMMUTER,NULL,603SC,0,0,P&W CA,305A         , PW305,2,NULL,0,0,NULL,NULL
20110118000849I,18-JAN-11,COLDWATER,MI,BRANCH COUNTY MEMORIAL,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-34,PA-34-200T,NULL,NULL,GENERAL OPERATING RULES,NULL,1555X,0,0,CONT M,TSIO-360 SER ,NULL,NULL,NULL,0,0,NULL,NULL
20110118002199I,18-JAN-11,LAKELAND,FL,LAKELAND LINDER RGNL,INCIDENT,MINOR,TAXI,CESSNA,CE-210,CE-210-L,FLIGHT EXPRESS INC,NULL,AIR TAXI/COMMUTER,NULL,5489V,0,0,CONT M,IO 520 SERIES,NULL,1,COMMERCIAL PILOT,20000,361,NULL,NULL
20110119000869I,19-JAN-11,WAUKEGAN,IL,WAUKEGAN RGNL,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CITATION X (C750),NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,307RX,0,0,ALLISO,AE3007C SER  ,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,7000,150,NULL,NULL
20110119002029I,19-JAN-11,GALLIANO,LA,SOUTH LAFOURCHE LEONARD MILLER JR,INCIDENT,MINOR,LANDING: APPROACH,SKRSKY,S-92,S-92-A,BRISTOW U S LLC,NULL,AIR TAXI/COMMUTER,NULL,920AL,0,0,GE    ,CT7-8A       ,NULL,NULL,NULL,0,0,NULL,NULL
20110120002949I,20-JAN-11,NEW ORLEANS,LA,LAKEFRONT,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-185,CE-185-F,NULL,NULL,GENERAL OPERATING RULES,NULL,784AW,0,0,CONT M,IO 520 SERIES,NULL,1,COMMERCIAL PILOT,3200,3200,NULL,NULL
20110120010539I,20-JAN-11,FRANKLIN,PA,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,EURCPT,EC-135,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,492AE,0,0,P&W CA,PW206B SERIES,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20110121000679I,21-JAN-11,HAYS,KS,HAYS RGNL,INCIDENT,MINOR,TAXI,RANS,S-19,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,719RS,0,0,ROTAX ,912ULS       ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,400,3,NULL,NULL
20110121000969I,21-JAN-11,REDDING,CA,NULL,INCIDENT,SUBSTANTIAL,TAXI,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,48VP ,0,0,AMA/EX,UNKNOWN ENG  ,NULL,NULL,AIRLINE TRANSPORT,26500,560,NULL,NULL
20110121002379I,21-JAN-11,READING,PA,READING RGNL/CARL A SPAATZ FIELD,INCIDENT,MINOR,LANDING: TOUCHDOWN,BEECH,BE-58,NULL,QUEST AIR,NULL,GENERAL OPERATING RULES,NULL,3214H,0,0,CONT M,IO-550 SERIES,C     ,2,AIRLINE TRANSPORT,3000,1800,NULL,NULL
20110121004669I,21-JAN-11,NULL,NULL,CHICAGO O'HARE INTL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CANADAIR-BOMBARDIER,CHALLENGER,600,SKYWEST AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,791SK,0,0,GE    ,CF34-8C5B1   ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20110122000519I,22-JAN-11,REDDING,CA,REDDING MUNI,INCIDENT,MINOR,TAKEOFF: DEPARTURE,BEECH,BE-18,BE-18-3N,NULL,NULL,GENERAL OPERATING RULES,NULL,6126 ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,12200,550,NULL,NULL
20110122000589I,22-JAN-11,LUBBOCK,TX,LUBBOCK PRESTON SMITH INTL,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-24,PA-24-260,NULL,NULL,GENERAL OPERATING RULES,NULL,9297P,0,0,LYCOMI,TI0-540 SER  ,NULL,NULL,COMMERCIAL PILOT,997,36,NULL,NULL
20110122000879I,22-JAN-11,OZONA,TX,OZONA MUNI,INCIDENT,NONE,OTHER-SPECIFY,ROBSIN,R-22,R-22-BETA,NULL,NULL,GENERAL OPERATING RULES,NULL,401DK,0,0,NULL,NULL,NULL,NULL,COMMERCIAL PILOT,250,0,NULL,NULL
20110122001979I,22-JAN-11,MEMPHIS,TN,NULL,INCIDENT,NONE,DESCENT,BOEING,737,800,CONTINENTAL AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,73299,0,0,CFM IN,CFM56 SERIES ,NULL,NULL,AIRLINE TRANSPORT,20000,0,NULL,NULL
20110123000999I,23-JAN-11,VICTORVILLE,CA,SOUTHERN CALIFORNIA LOGISTICS,INCIDENT,MINOR,TAKEOFF: ROTATION,RUTAN,LONGEZ,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,407MN,0,0,LYCOMI,0-235 SERIES ,NULL,NULL,PRIVATE PILOT,120,10,NULL,NULL
20110124000689I,24-JAN-11,SEATTLE,WA,YAKUTAT,INCIDENT,MINOR,LANDING: TOUCHDOWN,BOEING,737,400,ALASKA AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,754AS,0,0,CFM IN,CFM56 SERIES ,NULL,NULL,AIRLINE TRANSPORT,10164,1712,NULL,NULL
20110125001079I,25-JAN-11,FORT LAUDERDALE,FL,FORT LAUDERDALE/HOLLYWOOD INTL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,HS-BAE SYSTEMS,125-HAWKER,700,NULL,NULL,GENERAL OPERATING RULES,NULL,216KH,0,0,GARRET,TFE 731 SER  ,NULL,NULL,PRIVATE PILOT,6150,900,NULL,NULL
20110125001669I,25-JAN-11,WELLINGTON,KS,WELLINGTON MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-34,PA-34-200,US AVIATION GROUP,NULL,PILOT SCHOOLS,NULL,1230T,0,0,CONTIN,TSIO         ,360E  ,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,2100,300,NULL,NULL
20110125001729I,25-JAN-11,FORT LAUDERDALE,FL,FORT LAUDERDALE/HOLLYWOOD INTL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,LEARJET-BOMBARDIER,LEARJET 35,A,SEA TO SKY AIR INC,NULL,AIR TAXI/COMMUTER,NULL,991AL,0,0,AIRESE,TFE731 SER   ,NULL,2,NULL,0,0,NULL,NULL
20110125001809I,25-JAN-11,LATHAM,NY,ALBANY INTL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,MCDONNELL-DOUGLAS-BOEING,MD-80,83,CARIBBEAN SUN AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,802WA,0,0,P & W ,JT8D-219     ,NULL,NULL,NULL,0,0,NULL,NULL
20110126001159I,26-JAN-11,SAN MARCOS,TX,SAN MARCOS MUNI,INCIDENT,MINOR,TAKEOFF: DEPARTURE,VANS,RV-4,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,767HA,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,PRIVATE PILOT,426,22,NULL,NULL
20110127000449I,27-JAN-11,LAKE WALES,FL,LAKE WALES MUNI,INCIDENT,MINOR,TAKEOFF: DEPARTURE,PIPER,PA-28,PA-28-161,NULL,NULL,GENERAL OPERATING RULES,NULL,746RA,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,STUDENT,17,17,NULL,NULL
20110127000789I,27-JAN-11,FORT PIERCE,FL,ST LUCIE COUNTY INTL,INCIDENT,MINOR,CLIMB,PIPER,PA-28,PA-28-161,NULL,NULL,NULL,NULL,748RA,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,0,0,NULL,NULL
20110127000989I,27-JAN-11,TRAVIS AFB,CA,TRAVIS AFB,INCIDENT,NONE,LANDING: APPROACH,GULSTM,GA-114,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,4887W,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,3862,2750,NULL,NULL
20110127001169I,27-JAN-11,BIG CABIN,OK,GRAND ISLE,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-18,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,43CR ,0,0,LYCOMI,O-360 SERIES ,NULL,NULL,PRIVATE PILOT,950,650,NULL,NULL
20110128000709I,28-JAN-11,MORRISTOWN,NJ,MORRISTOWN MUNI,INCIDENT,MINOR,GROUND-RAMP,GULFSTREAM AEROSPACE,GULFSTREAM IV,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,202VZ,0,0,ROLLS-,TAY 611-8C   ,NULL,NULL,AIRLINE TRANSPORT,8200,600,NULL,NULL
20110128001019I,28-JAN-11,VAN NUYS,CA,VAN NUYS,INCIDENT,MINOR,TAKEOFF: DEPARTURE,DASSAULT AVIATION,FALCON 20-200,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,XCHID,0,0,NULL,NULL,NULL,NULL,UNKNOWN/FOREIGN,NULL,NULL,NULL,NULL
20110128001859I,28-JAN-11,SAINT JOSEPH,MO,ROSECRANS MEMORIAL,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-38,PA-38-112,NULL,NULL,GENERAL OPERATING RULES,NULL,25674,0,0,LYCOMI,0-235 SERIES ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,21863,360,NULL,NULL
20110128002799I,28-JAN-11,FORT PIERCE,FL,ST LUCIE COUNTY INTL,INCIDENT,SUBSTANTIAL,LANDING: TOUCHDOWN,BEECH,BE-76,NULL,NULL,NULL,NULL,NULL,110SU,0,0,LYCOMI,O&VO-360 SER ,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,521,250,NULL,NULL
20110128002939I,28-JAN-11,SUGAR LAND,TX,SUGAR LAND RGNL,INCIDENT,MINOR,LANDING: TOUCHDOWN,BENSON,B8M,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,5434 ,0,0,AMA/EX,UNKNOWN ENG  ,NULL,NULL,AIRLINE TRANSPORT,9750,200,NULL,NULL
20110129000439I,29-JAN-11,MORGAN,UT,NULL,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,POWRACHUTE,PEGASUS,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,423DA,0,0,ROTAX ,582DCDI      ,NULL,1,STUDENT,33,21,NULL,NULL
20110129000919I,29-JAN-11,VENICE,LA,CHEVRON USA INC.,INCIDENT,MINOR,CLIMB,BELL,BHT-430,NULL,CHEVRON USA PRODUCTION COMPANY,NULL,GENERAL OPERATING RULES,NULL,430CM,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,24394,1620,NULL,NULL
20110129001069I,29-JAN-11,PALO ALTO,CA,PALO ALTO ARPT OF SANTA CLARA CO,INCIDENT,MINOR,LANDING: TOUCHDOWN,CHAMP,CHAMP-7,CHAMP-7-GCBC,NULL,NULL,GENERAL OPERATING RULES,NULL,59WD ,0,0,LYCOMI,O-320-B2B    ,NULL,1,COMMERCIAL PILOT,16500,6000,NULL,NULL
20110129001271I,29-JAN-11,MIAMI,FL,KENDALL-TAMIAMI EXECUTIVE,INCIDENT,MINOR,GROUND-RAMP,ACMNDR,ACMNDR-100,ACMNDR-100-180,NULL,NULL,GENERAL OPERATING RULES,NULL,4206X,0,0,LYCOMI,O&VO-360 SER ,L15072,NULL,STUDENT,3500,350,NULL,NULL
20110130001829I,30-JAN-11,SENECA,SC,OCONEE COUNTY RGNL,INCIDENT,MINOR,LANDING: ROLLOUT,BEECH,BE-90,BE-90-C90A,NULL,NULL,GENERAL OPERATING RULES,NULL,91CT ,0,0,P&W   ,PT6A SER     ,N/A   ,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,7700,100,NULL,NULL
20110130002879I,30-JAN-11,SAN ANTONIO,TX,SAN ANTONIO INTL,INCIDENT,MINOR,GROUND-RAMP,CANADAIR-BOMBARDIER,CHALLENGER,600,MESA AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,514MJ,0,1,GE    ,CF34 SERIES  ,NULL,NULL,NULL,0,0,NULL,NULL
20110131001259I,31-JAN-11,HICKORY,NC,HICKORY RGNL,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CE-172,CE-172-RG,NULL,NULL,GENERAL OPERATING RULES,NULL,5209V,0,0,LYCOMI,O&VO-360 SER ,NULL,1,COMMERCIAL PILOT,1010,325,NULL,NULL
