aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20110101007239I,01-JAN-11,NULL,NULL,NULL,INCIDENT,NONE,OTHER-SPECIFY,BOEING,NULL,NULL,AIR ITALY S P A,NULL,FOREIGN AIR CARRIER,NULL,NONE ,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20110102000119I,02-JAN-11,TOKELAND,WA,NULL,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,QUAD CITY,CHALLENGER II,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,63836,0,0,BOMBAR,ROTAX (ALL)  ,NULL,0,NULL,0,0,NULL,NULL
20110102000489I,02-JAN-11,LINCOLN,NE,LINCOLN,INCIDENT,NONE,LANDING: TOUCHDOWN,CESSNA,CE-150,CE-150-M,NULL,NULL,GENERAL OPERATING RULES,NULL,9282U,0,0,CONT M,0-200 SERIES ,NULL,1,STUDENT,50,45,NULL,NULL
20110102000609I,02-JAN-11,MONTGOMERY,AL,MONTGOMERY RGNL (DANNELLY FIELD),INCIDENT,MINOR,LANDING: TOUCHDOWN,BEECH,BE-36,BE-36-A36,NULL,NULL,GENERAL OPERATING RULES,NULL,25615,0,0,CONT M,IO 520 SERIES,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1500,235,NULL,NULL
20110103000069I,03-JAN-11,FORT LAUDERDALE,FL,FORT LAUDERDALE/HOLLYWOOD INTL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,ECLIPSE AVIATION,ECLIPSE 500,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,214MS,0,0,P&W CA,PW610F-A     ,000252,NULL,COMMERCIAL PILOT,0,0,NULL,NULL
20110104000059I,04-JAN-11,SHREVEPORT,LA,SHREVEPORT DOWNTOWN,INCIDENT,MINOR,LANDING: APPROACH,BEECH,BE-36,BE-36-A36,NULL,NULL,GENERAL OPERATING RULES,NULL,3045E,0,0,NULL,NULL,NULL,1,NULL,0,0,NULL,NULL
20110104000249I,04-JAN-11,VENICE,FL,VENICE MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-28,PA-28-140,ELITE FLIGHT ACADEMY,NULL,GENERAL OPERATING RULES,NULL,4221T,0,0,LYCOMI,0-320 SERIES ,A1A   ,NULL,STUDENT,12,12,NULL,NULL
20110104000399I,04-JAN-11,HOLLIS,OK,HOLLIS MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,MOONEY,M-20,M-20-A,NULL,NULL,GENERAL OPERATING RULES,NULL,6031X,0,0,LYCOMI,O-360        ,NULL,1,PRIVATE PILOT,260,63,NULL,NULL
20110105000019I,05-JAN-11,AMARILLO,TX,TRADEWIND,INCIDENT,MINOR,LANDING: TOUCHDOWN,SWEARINGEN-FAIRCHILD,SX-300,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,74SX ,0,0,LYCOMI,IO-540+      ,NULL,1,COMMERCIAL PILOT,4890,1300,NULL,NULL
20110105000259I,05-JAN-11,NOGALES,AZ,NOGALES INTL,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-28,PA-28-161,UNIVERSITY OF NORTH DAKOTA,NULL,PILOT SCHOOLS,NULL,359ND,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,STUDENT,50,50,NULL,NULL
20110105000619I,05-JAN-11,SEWARD,NE,SEWARD MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-30,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,7404Y,0,0,LYCOMI,IO-320 SERIES,B1A   ,NULL,PRIVATE PILOT,1450,60,NULL,NULL
20110105007129I,05-JAN-11,NEW SMYRNA BEACH,FL,NEW SMYRNA BEACH MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CE-172,CE-172-S,NULL,NULL,GENERAL OPERATING RULES,NULL,35549,0,0,LYCOMI,I0360 SER    ,NULL,1,STUDENT,28,28,NULL,NULL
20110106000329I,06-JAN-11,LA PORTE,TX,LA PORTE MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,BLANCA,BL-17,BL-17-30A,NULL,NULL,GENERAL OPERATING RULES,NULL,24CS ,0,0,CONT M,IO 520 SERIES,NULL,NULL,PRIVATE PILOT,4500,300,NULL,NULL
20110106000509I,06-JAN-11,APOPKA,FL,ORLANDO APOPKA,INCIDENT,MINOR,LANDING: TOUCHDOWN,CIRRUS,CIRRUS-SR,CIRRUS-SR-20,NULL,NULL,GENERAL OPERATING RULES,NULL,497DA,0,0,CONT M,IO-360-ES    ,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,519,276,NULL,NULL
20110106000559I,06-JAN-11,DAYTONA BEACH,FL,DAYTONA BEACH INTL,INCIDENT,MINOR,LANDING: APPROACH,PIPER,PA-J3L,PA-J3L-65,NULL,NULL,GENERAL OPERATING RULES,NULL,35252,0,0,CONT M,C90 SERIES   ,NULL,NULL,COMMERCIAL PILOT,1688,115,NULL,NULL
20110107000099I,07-JAN-11,PASCO,WA,TRI-CITIES,INCIDENT,NONE,LANDING: APPROACH,ATR,ATR 72,210,EMPIRE AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,807FX,0,0,P&W CA,PW120        ,NULL,NULL,NULL,0,0,NULL,NULL
20110107002729I,07-JAN-11,VICTORVILLE,CA,SOUTHERN CALIFORNIA LOGISTICS,INCIDENT,MINOR,LANDING: TOUCHDOWN,MCDONNELL-DOUGLAS-BOEING,MD-11,NULL,WORLD AIRWAYS INC,NULL,AIR CARRIER/COMMERCIAL,NULL,273WA,0,0,P&W   ,PW4000 SER   ,NULL,NULL,AIRLINE TRANSPORT,10000,9000,NULL,NULL
