aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20170101000169I,01-JAN-17,CHARLOTTE,NC,CHARLOTTE/DOUGLAS INTL,INCIDENT,NONE,GROUND-RAMP,EMBRAER,170,200LR,MESA AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,87302,0,0,GE    ,CF34-8E5     ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20170101000179I,01-JAN-17,PUNTA GORDA,FL,PUNTA GORDA,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,PIPER,PA-28,PA-28-151,NULL,NULL,GENERAL OPERATING RULES,NULL,41883,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,AIRLINE TRANSPORT,1230,15,NULL,NULL
20170101000659I,01-JAN-17,ARCADIA,FL,NULL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,PIPER,PA-25,NULL,CONSOLIDATED AG PILOT SERVICES LLC,NULL,AGRICULTURAL,NULL,6106Z,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,COMMERCIAL PILOT,1250,16,NULL,NULL
20170102000189I,02-JAN-17,SAN MARCOS,TX,SAN MARCOS MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,GLOBE,GC-1,GC-1-B,NULL,NULL,GENERAL OPERATING RULES,NULL,90373,0,0,CONT M,C145 SERIES  ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,16933,4,NULL,NULL
20170102000219I,02-JAN-17,MIAMI,FL,KENDALL-TAMIAMI EXECUTIVE,INCIDENT,MINOR,LANDING: APPROACH,PIPER,PA-31,PA-31-325,NULL,NULL,GENERAL OPERATING RULES,NULL,378MM,0,0,LYCOMI,TI0-540 SER  ,NULL,NULL,AIRLINE TRANSPORT,988,953,NULL,NULL
20170102005789I,02-JAN-17,KOBUK,AK,KOBUK,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,PIPER,PA-31,PA-31-350,HAGELAND AVIATION SERVICES INC,NULL,AIR TAXI/COMMUTER,NULL,3516A,0,0,LYCOMI,TI0-540 SER  ,NULL,NULL,AIRLINE TRANSPORT,4000,NULL,NULL,NULL
20170103000012I,03-JAN-17,BEDFORD,MA,LAURENCE G HANSCOM FLD,INCIDENT,MINOR,TAXI,CANADAIR-BOMBARDIER,CHALLENGER,600,NULL,NULL,GENERAL OPERATING RULES,NULL,900UC,0,0,GE    ,CF34-3B      ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,15000,700,NULL,NULL
20170103000022I,03-JAN-17,BEDFORD,MA,LAURENCE G HANSCOM FLD,INCIDENT,MINOR,TAXI,CANADAIR-BOMBARDIER,CHALLENGER,600,NULL,NULL,GENERAL OPERATING RULES,NULL,548BA,0,0,GE    ,CF34-3B      ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,10000,NULL,NULL,NULL
20170103000229I,03-JAN-17,ODESSA,TX,ODESSA-SCHLEMEYER FIELD,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,PIPER,PA-J3C,PA-J3C-65,NULL,NULL,GENERAL OPERATING RULES,NULL,24928,0,0,LYCOMI,0-320-B2B    ,320 SE,NULL,PRIVATE PILOT,NULL,55,NULL,NULL
20170103005899I,03-JAN-17,ENGLEWOOD,CO,CENTENNIAL,INCIDENT,MINOR,LANDING: TOUCHDOWN,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,254SF,0,0,AMA/EX,P&W 3350     ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20170104001499I,04-JAN-17,RAWLINS,WY,RAWLINS MUNI/HARVEY FIELD,INCIDENT,MINOR,LANDING: ROLLOUT,RAYTHEON,1900,C-1,ALPINE AVIATION INC,NULL,AIR TAXI/COMMUTER,NULL,198GA,0,0,P&W CA,PT6A-65B     ,NULL,2,AIRLINE TRANSPORT,11689,6118,NULL,NULL
20170104011099I,04-JAN-17,ROSEBURG,OR,ROSEBURG RGNL,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-31,PA-31-350,AMERIFLIGHT LLC,NULL,AIR TAXI/COMMUTER,NULL,42076,0,0,LYCOMI,TI0-540 SER  ,NULL,NULL,PRIVATE PILOT FLIGHT INSTRUCTOR,300,60,NULL,NULL
20170105000099I,05-JAN-17,HELENA,MT,HELENA RGNL,INCIDENT,MINOR,LANDING: ROLLOUT,BEECH,BE-35,BE-35-M35,NULL,NULL,GENERAL OPERATING RULES,NULL,9817R,0,0,CONT M,I0-470 SERIES,NULL,1,PRIVATE PILOT,195,89,NULL,NULL
20170105000259I,05-JAN-17,SAN ANGELO,TX,SAN ANGELO RGNL/MATHIS FIELD,INCIDENT,MINOR,TAKEOFF: DEPARTURE,SWEARINGEN-FAIRCHILD,SA-227,SA-227-AC,AMERIFLIGHT LLC,NULL,AIR TAXI/COMMUTER,NULL,443AF,0,0,AIRESE,TPE331 SERIES,NULL,NULL,PRIVATE PILOT FLIGHT INSTRUCTOR,3305,676,NULL,NULL
