aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20160101000129I,01-JAN-16,FRANKLIN,IN,FRANKLIN FLYING FIELD,INCIDENT,NONE,OTHER-SPECIFY,CESSNA,CE-182,CE-182-F,NULL,NULL,PARACHUTE JUMPING,NULL,3549U,1,0,CONT M,O-470 SERIES ,NULL,1,NULL,NULL,NULL,NULL,NULL
20160101000179I,01-JAN-16,CHESTERFIELD,MO,SPIRIT OF ST LOUIS,INCIDENT,NONE,TAKEOFF: CLIMB OUT,EMBRAER,EMB-500,NULL,QUEST DIAGNOSTICS INC,NULL,GENERAL OPERATING RULES,NULL,648DX,0,0,P&W CA,PW617F-E     ,N/A   ,NULL,NULL,NULL,NULL,NULL,NULL
20160102000139I,02-JAN-16,DUBUQUE,IA,DUBUQUE RGNL,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-31,PA-31-325,NULL,NULL,GENERAL OPERATING RULES,NULL,892MM,0,0,LYCOMI,TI0-540      ,NULL,NULL,PRIVATE PILOT,1445,477,NULL,NULL
20160102000209I,02-JAN-16,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,TAXI,EMBRAER,ERJ-145,LR,ENVOY AIR INC,NULL,AIR CARRIER/COMMERCIAL,NULL,660CL,0,0,ROLLS-,AE3007 SER   ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,NULL,NULL,NULL,NULL
20160103000109I,03-JAN-16,LUBBOCK,TX,LUBBOCK PRESTON SMITH INTL,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-210,CE-210-T210H,NULL,NULL,GENERAL OPERATING RULES,NULL,2225R,0,0,CONT M,TSIO-520 SER ,NULL,1,PRIVATE PILOT,565,130,NULL,NULL
20160103000299I,03-JAN-16,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,GROUND-RAMP,CANADAIR-BOMBARDIER,CHALLENGER,600,GOJET AIRLINES LLC,NULL,AIR CARRIER/COMMERCIAL,NULL,164GJ,0,2,GE    ,CF34-8C5B1   ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20160103001469I,03-JAN-16,WILLOWS,CA,WILLOWS-GLENN COUNTY,INCIDENT,MINOR,LANDING: TOUCHDOWN,BEECH,BE-35,BE-35-G35,NULL,NULL,GENERAL OPERATING RULES,NULL,4562D,0,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
20160103019099I,03-JAN-16,GRAND JUNCTION,CO,GRAND JUNCTION REGIONAL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,MCDONNELL-DOUGLAS-BOEING,MD-80,83,ALLEGIANT AIR LLC,NULL,AIR CARRIER/COMMERCIAL,NULL,875GA,0,0,P & W ,JT8D-219     ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20160103023999I,03-JAN-16,ANCHORAGE,AK,MERRILL FIELD,INCIDENT,NONE,LANDING: ROLLOUT,CESSNA,CE-172,CE-172-S,UNIVERSITY OF ALASKA ANCHORAGE,NULL,GENERAL OPERATING RULES,NULL,792SP,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,42,42,NULL,NULL
20160104000119I,04-JAN-16,BRENHAM,TX,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CESSNA,CE-150,CE-150-G,NULL,NULL,GENERAL OPERATING RULES,NULL,2643J,0,0,CONT M,0-200 SERIES ,UNKNOW,1,STUDENT,NULL,NULL,NULL,NULL
20160104000679I,04-JAN-16,CEDAR KEY,FL,GEORGE T LEWIS,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-28,PA-28-161,NULL,NULL,GENERAL OPERATING RULES,NULL,146FA,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,PRIVATE PILOT,750,NULL,NULL,NULL
20160104002481I,04-JAN-16,OPA LOCKA,FL,OPA-LOCKA EXECUTIVE,INCIDENT,SUBSTANTIAL,TAKEOFF: CLIMB OUT,BEECH,BE-200,BE-200-T,EASTERN AIR EXPRESS INC,NULL,AIR TAXI/COMMUTER,NULL,60RA ,0,0,P&W CA,PT6A-41      ,NULL,2,NULL,NULL,NULL,NULL,NULL
20160104019219I,04-JAN-16,TUSCALOOSA,AL,TUSCALOOSA RGNL,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,CESSNA,CE-414,CE-414-A,NULL,NULL,GENERAL OPERATING RULES,NULL,999MZ,0,0,CONT M,TSIO-520 SER ,NULL,2,PRIVATE PILOT,NULL,NULL,NULL,NULL
20160107000239I,07-JAN-16,MOUNT PLEASANT,MI,MOUNT PLEASANT MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-337,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,2290X,0,0,CONT M,IO-360 SER   ,NULL,2,COMMERCIAL PILOT,692,218,NULL,NULL
20160107000349I,07-JAN-16,SAINT PAUL,MN,ST PAUL DOWNTOWN HOLMAN FLD,INCIDENT,NONE,TAKEOFF: CLIMB OUT,CESSNA,CE-560,CE-560-560XL,NULL,NULL,GENERAL OPERATING RULES,NULL,12L  ,0,0,P&W CA,PW545 SER    ,NULL,2,AIRLINE TRANSPORT,12765,70,NULL,NULL
20160107005149I,07-JAN-16,ARLINGTON,TX,ARLINGTON MUNI,INCIDENT,NONE,LANDING: TOUCHDOWN,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,204TR,0,2,ROLLS-,AE 1107C     ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,6900,325,NULL,NULL
20160108000079I,08-JAN-16,MINNEAPOLIS,MN,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,INCIDENT,NONE,CLIMB,EMBRAER,ERJ-145,NULL,AERODYNAMICS INC,NULL,AIR CARRIER/COMMERCIAL,NULL,459AD,0,0,ROLLS-,AE 3007A1P   ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20160109000529I,09-JAN-16,CHINO,CA,CHINO,INCIDENT,NONE,LANDING: APPROACH,BEECH,BE-36,BE-36-A36TC,NULL,NULL,GENERAL OPERATING RULES,NULL,253RL,0,0,CONT M,TSIO-520 SER ,NULL,1,PRIVATE PILOT,1949,725,NULL,NULL
20160109000669I,09-JAN-16,PINEVILLE,LA,ESLER RGNL,INCIDENT,MINOR,LANDING: TOUCHDOWN,SAVANNAH,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,62XT ,0,0,ROTAX ,912ULS       ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
