aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20180101000369I,01-JAN-18,OKLAHOMA CITY,OK,WILL ROGERS WORLD,INCIDENT,MINOR,TAXI,CESSNA,CE-208,CE-208-B,MARTINAIRE AVIATION LLC,NULL,GENERAL OPERATING RULES,NULL,1037N,0,0,P&W   ,PT6A SER     ,NULL,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,11950,60,NULL,NULL
20180101007499I,01-JAN-18,FARGO,ND,HECTOR INTL,INCIDENT,MINOR,LANDING: APPROACH,SOCATA,TB-20,TB-20-21C,NULL,NULL,GENERAL OPERATING RULES,NULL,425RT,0,0,NULL,NULL,NULL,NULL,PRIVATE PILOT,600,186,NULL,NULL
20180102000399I,02-JAN-18,OLATHE,KS,JOHNSON COUNTY EXECUTIVE,INCIDENT,MINOR,LANDING: APPROACH,CESSNA,CE-172,CE-172-RG,NULL,NULL,GENERAL OPERATING RULES,NULL,6428V,0,0,LYCOMI,O&VO-360 SER ,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1794,43,NULL,NULL
20180102000409I,02-JAN-18,SCAPPOOSE,OR,SCAPPOOSE INDUSTRIAL AIRPARK,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-177,CE-177-RG,NULL,NULL,GENERAL OPERATING RULES,NULL,33296,0,0,LYCOMI,IO-360-A1B6D ,NULL,1,PRIVATE PILOT,520,336,NULL,NULL
20180102000419I,02-JAN-18,GAINESVILLE,GA,LEE GILMER MEMORIAL,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-172,CE-172-S,LANIER FLIGHT CENTER,NULL,PILOT SCHOOLS,NULL,2132W,0,0,LYCOMI,IO-360-L2A   ,NULL,1,STUDENT,42,42,NULL,NULL
20180103000429I,03-JAN-18,SAN MARCOS,TX,SAN MARCOS MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-172,CE-172-RG,NULL,NULL,GENERAL OPERATING RULES,NULL,6169R,0,0,LYCOMI,O&VO-360 SER ,NULL,1,COMMERCIAL PILOT,2416,58,NULL,NULL
20180103000439I,03-JAN-18,WHITE PLAINS,NY,WESTCHESTER COUNTY,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CITATION SOVEREIGN,NULL,EXECUTIVE JET MANAGEMENT INC,NULL,GENERAL OPERATING RULES,NULL,799MJ,0,0,P&W CA,PW306C       ,NULL,2,AIRLINE TRANSPORT,5178,3334,NULL,NULL
20180103000449I,03-JAN-18,LOUISVILLE,KY,BOWMAN FIELD,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CE-172,CE-172-S,NULL,NULL,GENERAL OPERATING RULES,NULL,456SP,0,0,LYCOMI,I0360 SER    ,NULL,1,STUDENT,32,33,NULL,NULL
20180103004379I,03-JAN-18,GULF OF MEXICO,GM,NULL,INCIDENT,DESTROYED,CRUISE-LEVEL FLIGHT,CIRRUS,CIRRUS-SR,CIRRUS-SR-22T,NULL,NULL,GENERAL OPERATING RULES,NULL,325JK,0,0,CONTIN,TSIO-550-K   ,NULL,1,NULL,NULL,NULL,NULL,NULL
20180103006559I,03-JAN-18,CORPUS CHRISTI,TX,CORPUS CHRISTI INTL,INCIDENT,MINOR,TAXI,CESSNA,CE-210,CE-210-F,NULL,NULL,GENERAL OPERATING RULES,NULL,1833F,0,0,CONT M,IO 520 SERIES,NULL,1,PRIVATE PILOT,580,400,NULL,NULL
