aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20130101000249I,01-JAN-13,ROCKLEDGE,FL,ROCKLEDGE,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,FLIGHT DESIGN,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,332TX,0,0,ROTAX ,582          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20130102000109I,02-JAN-13,CEDAR RAPIDS,IA,THE EASTERN IOWA,INCIDENT,NONE,TAKEOFF: CLIMB OUT,EMBRAER,ERJ-135,KL,CHAUTAUQUA AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,375SK,0,0,ROLLS-,AE 3007A1P   ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,6200,5603,NULL,NULL
20130102000299I,02-JAN-13,AUBURN,WA,AUBURN MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,LAKE,LA-4,LA-4-250,NULL,NULL,GENERAL OPERATING RULES,NULL,84209,0,0,LYCOMI,IO-540 SER   ,NULL,NULL,PRIVATE PILOT,1349,1004,NULL,NULL
20130102000729I,02-JAN-13,VALDEZ,AK,VALDEZ PIONEER FIELD,INCIDENT,MINOR,LANDING: ROLLOUT,BEECH,BE-200,NULL,GUARDIAN FLIGHT INC,NULL,AIR TAXI/COMMUTER,NULL,25KA ,0,0,U/A CA,PT6A-41      ,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,10655,2350,NULL,NULL
20130103000929I,03-JAN-13,SAINT LOUIS,MO,LAMBERT-ST LOUIS INTL,INCIDENT,MINOR,LANDING: TOUCHDOWN,BEECH,BE-300,NULL,FLIGHT INSPECTION SERVICES,NULL,AIR TAXI/COMMUTER,NULL,83   ,0,0,P&W CA,PT6A-60A     ,NULL,NULL,AIRLINE TRANSPORT,6900,1200,NULL,NULL
20130104000049I,04-JAN-13,BELLE GLADE,FL,BELLE GLADE STATE MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,AERONCA,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,3733E,0,0,CONT M,A&C65 SERIES ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,27000,700,NULL,NULL
20130104000119I,04-JAN-13,GLENDALE,AZ,GLENDALE MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-182,CE-182-R,NULL,NULL,GENERAL OPERATING RULES,NULL,3700C,0,0,LYCOMI,0-540 SERIES ,NULL,1,PRIVATE PILOT,1800,600,NULL,NULL
20130105000509I,05-JAN-13,SOUTH LAKE TAHOE,CA,LAKE TAHOE,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,66LT ,0,0,WALTER,601E         ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,4100,1,NULL,NULL
20130107000179I,07-JAN-13,HATTIESBURG,MS,HATTIESBURG BOBBY L CHAIN MUNI,INCIDENT,MINOR,LANDING: APPROACH,BEECH,BE-60,BE-60-A60,NULL,NULL,GENERAL OPERATING RULES,NULL,104JT,0,0,LYCOMI,TI0-541 SER  ,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3800,55,NULL,NULL
20130107000419I,07-JAN-13,NEW ROADS,LA,FALSE RIVER RGNL,INCIDENT,MINOR,LANDING: APPROACH,PIPER,PA-28R,PA-28R-200,NULL,NULL,GENERAL OPERATING RULES,NULL,2989R,0,0,LYCOMI,I0360 SER    ,NULL,NULL,PRIVATE PILOT,973,38,NULL,NULL
20130107000661I,07-JAN-13,NULL,CT,IGOR I SIKORSKY MEMORIAL,INCIDENT,SUBSTANTIAL,TAXI,CESSNA,CE-182,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,631S ,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,1150,1500,NULL,NULL
20130107000799I,07-JAN-13,SAN DIEGO,CA,NULL,INCIDENT,MINOR,LANDING: TOUCHDOWN,NULL,NULL,NULL,SKYSURFER BALLOON CO,NULL,GENERAL OPERATING RULES,NULL,8900C,0,14,NONE  ,NONE         ,N/A   ,NULL,COMMERCIAL PILOT,5100,2000,NULL,NULL
20130107001789I,07-JAN-13,SAN CARLOS,CA,SAN CARLOS,INCIDENT,MINOR,LANDING: APPROACH,LANCAIR,LC-41,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,277JA,0,0,CONT M,TSIO-550-C   ,NULL,NULL,PRIVATE PILOT,2100,100,NULL,NULL
20130108000039I,08-JAN-13,EDEN PRAIRIE,MN,FLYING CLOUD,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CESSNA,CE-172,CE-172-N,NULL,NULL,GENERAL OPERATING RULES,NULL,738JX,0,0,LYCOMI,0-320 SERIES ,NULL,1,PRIVATE PILOT,250,250,NULL,NULL
20130108000059I,08-JAN-13,SPRINGFIELD,OH,SPRINGFIELD-BECKLEY MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,LANCAIR,LC-320,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,8TB  ,0,0,LYCOMI,0-320 SERIES ,D2B   ,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,NULL,10,NULL,NULL
20130108000159I,08-JAN-13,OPA LOCKA,FL,OPA-LOCKA EXECUTIVE,INCIDENT,NONE,CLIMB,CESSNA,CE-421,CE-421-C,NULL,NULL,GENERAL OPERATING RULES,NULL,4492U,0,0,CONT M,GTSIO-520 SER,NULL,2,AIRLINE TRANSPORT,7600,254,NULL,NULL
20130108000169I,08-JAN-13,BROWNFIELD,TX,TERRY COUNTY,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,PIPER,PA-24,PA-24-250,NULL,NULL,GENERAL OPERATING RULES,NULL,5593P,0,0,LYCOMI,0-540 SERIES ,NULL,NULL,PRIVATE PILOT,168,NULL,NULL,NULL
20130108000229I,08-JAN-13,HESPERIA,CA,HESPERIA,INCIDENT,MINOR,LANDING: APPROACH,PIPER,PA-28,PA-28-151,NULL,NULL,GENERAL OPERATING RULES,NULL,41459,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20130108000329I,08-JAN-13,OKLAHOMA CITY,OK,WILL ROGERS WORLD,INCIDENT,NONE,TAKEOFF: CLIMB OUT,AIRBUS,A319,114,DELTA AIR LINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,352NB,0,0,CFM IN,CFM56 SERIES ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20130108000609I,08-JAN-13,WARSAW,IN,WARSAW MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,LANCAIR,LC-235,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,268L ,0,0,SUPERI,IO-320-A     ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20130108001159I,08-JAN-13,NULL,NULL,CHICAGO O'HARE INTL,INCIDENT,NONE,TAXI,BOEING,757,200,AMERICAN AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,191AN,0,1,ROLLS-,RB.211 SERIES,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20130108001399I,08-JAN-13,JACKSON,MI,JACKSON COUNTY-REYNOLDS FIELD,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,CESSNA,CE-172,CE-172-R,NULL,NULL,GENERAL OPERATING RULES,NULL,3544B,0,0,LYCOMI,I0360 SER    ,L2A   ,1,STUDENT,40,40,NULL,NULL
20130109000349I,09-JAN-13,PELION,SC,NULL,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,2295P,0,0,AMA/EX,503 UL DCD1  ,NULL,NULL,PRIVATE PILOT,1100,8,NULL,NULL
20130109000539I,09-JAN-13,EL MONTE,CA,EL MONTE,INCIDENT,NONE,OTHER-SPECIFY,PIPER,PA-25,PA-25-235,AERIAL BANNER,NULL,GENERAL OPERATING RULES,NULL,145AB,0,0,LYCOMI,0-540 SERIES ,NULL,NULL,COMMERCIAL PILOT,800,NULL,NULL,NULL
20130109000579I,09-JAN-13,HEARNE,TX,HEARNE MUNI,INCIDENT,SUBSTANTIAL,LANDING: ROLLOUT,CESSNA,CE-210,CE-210-D,NULL,NULL,GENERAL OPERATING RULES,NULL,210HS,0,0,CONT M,IO 520 SERIES,NULL,1,PRIVATE PILOT,950,4,NULL,NULL
20130109000809I,09-JAN-13,EL CAJON,CA,GILLESPIE FIELD,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,CESSNA,CE-150,CE-150-E,NULL,NULL,GENERAL OPERATING RULES,NULL,3069J,0,0,CONT M,0-200 SERIES ,NULL,1,PRIVATE PILOT,285,3,NULL,NULL
20130109000859I,09-JAN-13,NULL,NULL,RIVERSIDE MUNI,INCIDENT,NONE,LANDING: ROLLOUT,PIPER,PA-44,PA-44-180,NULL,NULL,GENERAL OPERATING RULES,NULL,827AT,0,0,LYCOMI,O-360 SERIES ,NULL,NULL,PRIVATE PILOT,158,73,NULL,NULL
20130112000209I,12-JAN-13,SAN ANGELO,TX,SAN ANGELO RGNL/MATHIS FIELD,INCIDENT,NONE,TAKEOFF: CLIMB OUT,CESSNA,CE-172,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,5956A,0,0,CONT M,0-300 SER    ,B     ,1,PRIVATE PILOT FLIGHT INSTRUCTOR,420,260,NULL,NULL
20130112000389I,12-JAN-13,FERNANDINA BEACH,FL,FERNANDINA BEACH MUNI,INCIDENT,SUBSTANTIAL,TAKEOFF: CLIMB OUT,CZECH SPORT,PIPERSPORT,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,34YP ,0,0,ROTAX ,912ULS       ,NULL,NULL,NULL,360,110,NULL,NULL
20130112000519I,12-JAN-13,SAN CARLOS,CA,SAN CARLOS,INCIDENT,MINOR,LANDING: TOUCHDOWN,MOONEY,M-20,M-20-J,NULL,NULL,GENERAL OPERATING RULES,NULL,100NY,0,0,LYCOMI,I0360 SER    ,NULL,1,AIRLINE TRANSPORT,28000,NULL,NULL,NULL
20130113000219I,13-JAN-13,PALM SPRINGS,CA,PALM SPRINGS INTL,INCIDENT,NONE,LANDING: APPROACH,CESSNA,CITATION 550 II,ULTRA,NULL,NULL,GENERAL OPERATING RULES,NULL,470DP,0,0,P&W CA,JT15D 5 SER  ,NULL,2,NULL,NULL,NULL,NULL,NULL
20130113000549I,13-JAN-13,NAPA,CA,NAPA COUNTY,INCIDENT,MINOR,LANDING: ROLLOUT,MOONEY,M-20,M-20-J,NULL,NULL,GENERAL OPERATING RULES,NULL,161F ,0,0,LYCOMI,I0360 SER A&C,NULL,1,PRIVATE PILOT,1615,169,NULL,NULL
20130113000869I,13-JAN-13,BANNING,CA,BANNING MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,BLANCA,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,7357V,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20130113001279I,13-JAN-13,FAYETTEVILLE,NC,NULL,INCIDENT,MINOR,LANDING: TOUCHDOWN,LANCAIR,LC-320,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,1671D,0,0,LYCOMI,I0360 SER A&C,NULL,NULL,PRIVATE PILOT,1900,35,NULL,NULL
20130113001929I,13-JAN-13,PEACHTREE CITY,GA,DEKALB-PEACHTREE,INCIDENT,NONE,CLIMB,CESSNA,CE-560,CE-560-560XL,NETJETS AVIATION INC,NULL,GENERAL OPERATING RULES,NULL,662QS,0,0,P&W CA,PW545 SER    ,NULL,2,NULL,NULL,NULL,NULL,NULL
20130114000649I,14-JAN-13,MOJAVE,CA,MOJAVE,INCIDENT,MINOR,LANDING: APPROACH,SCALED COMP,151,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,151SC,0,0,P&W CA,JT15D-4B     ,NULL,NULL,COMMERCIAL PILOT,1617,93,NULL,NULL
20130114001129I,14-JAN-13,SUNRISE,FL,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,BELL,BHT-206,BHT-206-L4,FLORIDA FISH AND WILDLIFE CONSERVATION COMMISSION,NULL,GENERAL OPERATING RULES,NULL,401FW,0,0,ROLLS-,250-C30P     ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20130115000429I,15-JAN-13,HAMMOND,LA,NULL,INCIDENT,MINOR,GROUND-RAMP,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,211CJ,0,1,LYCOMI,O-360-C7C    ,C7C   ,NULL,COMMERCIAL PILOT,8000,40,NULL,NULL
20130115000589I,15-JAN-13,HAMMOND,LA,HAMMOND NORTHSHORE RGNL,INCIDENT,NONE,LANDING: ROLLOUT,PILATS,PC-12,PC-12-45,NULL,NULL,GENERAL OPERATING RULES,NULL,594WA,0,0,P&W CA,PT6A-6 SERIES,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,19500,1500,NULL,NULL
20130115025799I,15-JAN-13,NORRIDGEWOCK,ME,CENTRAL MAINE ARPT OF NORRIDGEWOCK,INCIDENT,MINOR,LANDING: ROLLOUT,AERONCA,AR-7,AR-7-AC,NULL,NULL,GENERAL OPERATING RULES,NULL,7117A,0,0,CONT M,C85 SERIES   ,NULL,1,STUDENT,44,13,NULL,NULL
20130116000959I,16-JAN-13,CRESTVIEW,FL,BOB SIKES,INCIDENT,MINOR,LANDING: TOUCHDOWN,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,543X ,0,0,BOMBAR,ROTAX (ALL)  ,912 A2,NULL,PRIVATE PILOT,2905,14,NULL,NULL
