aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20130116000979I,16-JAN-13,COLORADO SPRINGS,CO,CITY OF COLORADO SPRINGS MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,LANCAIR,LC-41,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,2535X,0,0,NULL,NULL,NULL,NULL,PRIVATE PILOT,431,NULL,NULL,NULL
20130116001701I,16-JAN-13,PHOENIX,AZ,PHOENIX SKY HARBOR INTL,INCIDENT,MINOR,GROUND-RAMP,RAYTHEON,99,C99,AERO CHARTER AND TRANSPORT INC,NULL,GENERAL OPERATING RULES,NULL,226BH,0,0,P&W CA,PT6A-60A     ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,NULL,500,NULL,NULL
20130116001769I,16-JAN-13,CHICAGO,IL,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CANADAIR-BOMBARDIER,CHALLENGER,600,AMERICAN EAGLE AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,523AE,0,3,GE    ,CF34 SERIES  ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,15309,4187,NULL,NULL
20130117000269I,17-JAN-13,RENO,NV,RENO/TAHOE INTL,INCIDENT,MINOR,LANDING: APPROACH,RAYTHEON,RA-390,NULL,RECREATIONAL ENTERPRISES,NULL,GENERAL OPERATING RULES,NULL,42EL ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,13446,2940,NULL,NULL
20130117000559I,17-JAN-13,OROVILLE,CA,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,PIPER,PA-28,PA-28-180,NULL,NULL,GENERAL OPERATING RULES,NULL,9554J,0,0,LYCOMI,O-360 SER    ,A3A   ,NULL,NULL,NULL,NULL,NULL,NULL
20130117002079I,17-JAN-13,SAN MARCOS,TX,SAN MARCOS MUNI,INCIDENT,MINOR,LANDING: APPROACH,ROBSIN,R-22,R-22-BETA,NULL,NULL,GENERAL OPERATING RULES,NULL,223MG,0,0,LYCOMI,O&VO-360 SER ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3250,2600,NULL,NULL
20130118000479I,18-JAN-13,CHARLEVOIX,MI,CHARLEVOIX MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-31,PA-31-P,NULL,NULL,GENERAL OPERATING RULES,NULL,376DG,0,0,LYCOMI,TIGO-541SER  ,NULL,NULL,COMMERCIAL PILOT,7082,683,NULL,NULL
20130118001779I,18-JAN-13,KAHULUI,HI,KAHULUI,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,BELL,BHT-430,NULL,PACIFIC HELICOPTER TOURS INC,NULL,AIR TAXI/COMMUTER,NULL,25CL ,0,0,ROLLS-,250-C40B     ,NULL,2,AIRLINE TRANSPORT,7938,13,NULL,NULL
20130118002179I,18-JAN-13,LAWRENCEVILLE,GA,NULL,INCIDENT,NONE,LANDING: TOUCHDOWN,HUGHES,HU-369,HU-369-E,NULL,NULL,AIR TAXI/COMMUTER,NULL,507TV,0,0,ALLISO,250-C20 SER  ,500E  ,1,COMMERCIAL PILOT,3268,NULL,NULL,NULL
20130119000309I,19-JAN-13,CRYSTAL RIVER,FL,CRYSTAL RIVER,INCIDENT,MINOR,LANDING: TOUCHDOWN,BEECH,BE-23,BE-23-A23,NULL,NULL,GENERAL OPERATING RULES,NULL,1475L,0,0,CONT M,IO-346 SERIES,NULL,1,PRIVATE PILOT,243,12,NULL,NULL
20130119000499I,19-JAN-13,PAYSON,AZ,PAYSON,INCIDENT,MINOR,LANDING: TOUCHDOWN,GLOBE,GC-1,GC-1-B,NULL,NULL,GENERAL OPERATING RULES,NULL,3731K,0,0,CONT M,C125 SERIES  ,NULL,NULL,COMMERCIAL PILOT,NULL,NULL,NULL,NULL
20130119001019I,19-JAN-13,TUSCALOOSA,AL,TUSCALOOSA RGNL,INCIDENT,MINOR,LANDING: TOUCHDOWN,NANCHNG,CJ-6,CJ-6-A,NULL,NULL,GENERAL OPERATING RULES,NULL,5616N,0,0,VENDEN,M-14P        ,1     ,NULL,PRIVATE PILOT,7254,137,NULL,NULL
20130119001119I,19-JAN-13,STATESBORO,GA,STATESBORO-BULLOCH COUNTY,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-23,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,2253P,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,PRIVATE PILOT,850,278,NULL,NULL
20130119001299I,19-JAN-13,EUGENE,OR,MAHLON SWEET FIELD,INCIDENT,MINOR,LANDING: APPROACH,DE HAVILLAND-BOMBARDIER,DASH 8,NULL,HORIZON AIR INDUSTRIES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,436QX,0,0,P&W CA,PW150A       ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20130120014949I,20-JAN-13,CHINO,CA,CHINO,INCIDENT,NONE,TAKEOFF: CLIMB OUT,MOONEY,M-20,M-20-C,NULL,NULL,GENERAL OPERATING RULES,NULL,221BB,0,0,LYCOMI,O&VO-360 SER ,N/A   ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1300,500,NULL,NULL
20130121000899I,21-JAN-13,PORTLAND,OR,PORTLAND INTL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,CESSNA,CITATION 550 II,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,84EC ,0,0,P&W CA,JT15D-1      ,NULL,2,NULL,NULL,NULL,NULL,NULL
20130121009359I,21-JAN-13,MONTICELLO,NY,SULLIVAN COUNTY INTL,INCIDENT,NONE,DESCENT,PIPER,PA-28,PA-28-161,NULL,NULL,GENERAL OPERATING RULES,NULL,2478V,0,0,LYCOMI,0-320 SERIES ,UNKNOW,NULL,COMMERCIAL PILOT,315,287,NULL,NULL
20130122000369I,22-JAN-13,FAIRMONT,NE,FAIRMONT STATE AIRFIELD,INCIDENT,SUBSTANTIAL,TAKEOFF: ROTATION,CESSNA,CE-150,CE-150-F,NULL,NULL,GENERAL OPERATING RULES,NULL,3593L,0,0,CONT M,0-200 SERIES ,A     ,1,STUDENT,75,75,NULL,NULL
20130122000829I,22-JAN-13,SAN CARLOS,CA,SAN CARLOS,INCIDENT,NONE,LANDING: ROLLOUT,CESSNA,CE-210,CE-210-T210N,NULL,NULL,GENERAL OPERATING RULES,NULL,858BB,0,0,CONT M,TSIO-520 SER ,NULL,1,PRIVATE PILOT,2165,2061,NULL,NULL
20130122001499I,22-JAN-13,LOUISVILLE,KY,NULL,INCIDENT,NONE,LANDING: APPROACH,BOEING,757,200PF,UNITED PARCEL SERVICE CO,NULL,AIR CARRIER/COMMERCIAL,NULL,427UP,0,0,P & W ,PW2040       ,NULL,NULL,AIRLINE TRANSPORT,5346,2782,NULL,NULL
20130122002529I,22-JAN-13,NULL,IA,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,LEARJET-BOMBARDIER,LEARJET 35,A,IMAGE AIR OF SOUTHWEST FLORIDA LC A FLORIDA LLC,NULL,AIR TAXI/COMMUTER,NULL,573LR,0,0,GARRET,TFE 731 SER  ,NULL,2,AIRLINE TRANSPORT,16300,4625,NULL,NULL
20130122007639I,22-JAN-13,NULL,MI,DETROIT METROPOLITAN WAYNE COUNTY,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CANADAIR-BOMBARDIER,CHALLENGER,600,PINNACLE AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,8883E,0,0,GE    ,CF34         ,-3B1  ,NULL,NULL,NULL,NULL,NULL,NULL
20130123001819I,23-JAN-13,UPLAND,CA,CABLE,INCIDENT,NONE,TAKEOFF: CLIMB OUT,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,12XW ,0,0,NULL,NULL,NULL,NULL,PRIVATE PILOT FLIGHT INSTRUCTOR,2500,5,NULL,NULL
20130124000779I,24-JAN-13,CASA GRANDE,AZ,CASA GRANDE MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,MOONEY,M-20,M-20-F,NULL,NULL,GENERAL OPERATING RULES,NULL,6962V,0,0,LYCOMI,I0360 SER    ,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,684,69,NULL,NULL
20130124001259I,24-JAN-13,WESTFIELD,MA,BARNES MUNI,INCIDENT,MINOR,TAXI,PIPER,PA-28,PA-28-140,FIVE STAR FLIGHT ACADEMY,NULL,GENERAL OPERATING RULES,NULL,38692,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,11887,1500,NULL,NULL
20130124001669I,24-JAN-13,FORT LAUDERDALE,FL,FORT LAUDERDALE EXECUTIVE,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,CESSNA,CE-172,CE-172-P,NULL,NULL,GENERAL OPERATING RULES,NULL,66174,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,NULL,NULL,NULL,NULL
20130124001679I,24-JAN-13,SAN JUAN,PR,FERNANDO LUIS RIBAS DOMINICCI,INCIDENT,MINOR,TAXI,PIPER,PA-23,PA-23-160,NORTH SHORE AVIATION INC,NULL,GENERAL OPERATING RULES,NULL,3279P,0,0,LYCOMI,0-320 SERIES ,L18690,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,8200,NULL,NULL,NULL
20130124010169I,24-JAN-13,NULL,NULL,WESTFIELD-BARNES RGNL,INCIDENT,MINOR,TAXI,PIPER,PA-28,PA-28-140,FIVE STAR FLIGHT ACADEMY,NULL,GENERAL OPERATING RULES,NULL,38692,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,NULL,NULL,NULL,NULL
20130125000889I,25-JAN-13,NULL,CA,RIO VISTA MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,BEECH,BE-35,BE-35-V35B,NULL,NULL,GENERAL OPERATING RULES,NULL,65Y  ,0,0,CONT M,IO 520 SERIES,NULL,1,COMMERCIAL PILOT,1766,1300,NULL,NULL
20130125001409I,25-JAN-13,EMILY,MN,AITKIN MUNI-STEVE KURTZ FIELD,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,ENSTRM,ENSTRM-480,ENSTRM-480-B,NULL,NULL,GENERAL OPERATING RULES,NULL,145NR,0,0,ROLLS-,250-C20W     ,UNKNOW,1,COMMERCIAL PILOT,7130,54,NULL,NULL
20130125001719I,25-JAN-13,CHANDLER,AZ,STELLAR AIRPARK,INCIDENT,MINOR,LANDING: ROLLOUT,CIRRUS,CIRRUS-SR,CIRRUS-SR-20,NULL,NULL,GENERAL OPERATING RULES,NULL,5024E,0,0,CONT M,IO-360 SER   ,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,3624,208,NULL,NULL
20130125002489I,25-JAN-13,FORT MYERS,FL,NULL,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,ISRAEL AIRCRAFT INDUSTRIES,GULFSTREAM G200,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,479PR,0,0,P&W CA,PW306A       ,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,NULL,NULL,NULL,NULL
20130125008299I,25-JAN-13,FORT PIERCE,FL,ST LUCIE COUNTY INTL,INCIDENT,MINOR,LANDING: APPROACH,BEECH,BE-76,NULL,ARI BEN AVIATOR,NULL,PILOT SCHOOLS,NULL,5090M,0,0,LYCOMI,O&VO-360 SER ,NULL,2,PRIVATE PILOT,NULL,21,NULL,NULL
20130125017969I,25-JAN-13,OLATHE,KS,JOHNSON COUNTY EXECUTIVE,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-46,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,145JR,0,0,P&W CA,PT6A-42      ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,7088,71,NULL,NULL
20130126000359I,26-JAN-13,NAPLES,FL,NAPLES MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-44,PA-44-180,NULL,NULL,GENERAL OPERATING RULES,NULL,991AC,0,0,LYCOMI,O&VO-360 SER ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,200,55,NULL,NULL
20130126001149I,26-JAN-13,NILES,MI,JERRY TYLER MEMORIAL,INCIDENT,DESTROYED,LANDING: APPROACH,NULL,NULL,NULL,NULL,NULL,ULTRALIGHT VEHICLES,NULL,NONE ,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20130126001879I,26-JAN-13,SAN FRANCISCO,CA,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,STNSON,SR-108,NULL,AD-VIATION INC,NULL,GENERAL OPERATING RULES,NULL,331C ,0,0,CONT M,O-470-L      ,470   ,NULL,COMMERCIAL PILOT,11000,1500,NULL,NULL
