aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20120103000109I,03-JAN-12,DENTON,TX,DENTON MUNI,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,RAYTHEON,BEECHJET 400,400-400A,NULL,NULL,GENERAL OPERATING RULES,NULL,492P ,0,0,P&W CA,JT15D 5 SER  ,NULL,2,AIRLINE TRANSPORT,30883,800,NULL,NULL
20120103005269I,03-JAN-12,PETALUMA,CA,PETALUMA MUNI,INCIDENT,NONE,MANEUVER,AEROPRO,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,8119 ,0,0,ROTAX ,912ULS       ,NULL,NULL,PRIVATE PILOT,NULL,NULL,NULL,NULL
20120104000049I,04-JAN-12,NEWPORT NEWS,VA,NEWPORT NEWS/WILLIAMSBURG INTL,INCIDENT,MINOR,LANDING: TOUCHDOWN,TECNAM,P-2002,P-2002-SIERRA,NULL,NULL,GENERAL OPERATING RULES,NULL,14HV ,0,0,ROTAX ,912ULS       ,NULL,NULL,PRIVATE PILOT FLIGHT INSTRUCTOR,1800,6,NULL,NULL
20120104000059I,04-JAN-12,COLORADO SPRINGS,CO,CITY OF COLORADO SPRINGS MUNI,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,EMBRAER,ERJ-145,XR,ATLANTIC SOUTHEAST AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,31131,0,0,ROLLS-,AE3007 SER   ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20120104000119I,04-JAN-12,FORT LAUDERDALE,FL,FORT LAUDERDALE/HOLLYWOOD INTL,INCIDENT,NONE,CLIMB,LEARJET-BOMBARDIER,LEARJET 35,A,NULL,NULL,GENERAL OPERATING RULES,NULL,754WS,0,0,GARRET,TFE 731 SER  ,NULL,2,COMMERCIAL PILOT,25000,5000,NULL,NULL
20120104000199I,04-JAN-12,STRAFFORD,MO,NULL,INCIDENT,NONE,CLIMB,CESSNA,CE-150,CE-150-M,NULL,NULL,GENERAL OPERATING RULES,NULL,8855U,0,0,CONT M,0-200 SERIES ,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,3314,1054,NULL,NULL
20120105000149I,05-JAN-12,DENVER,CO,DENVER INTL,INCIDENT,MINOR,LANDING: ROLLOUT,SWEARINGEN-FAIRCHILD,SA-227,SA-227-AC,KEY LIME AIR CORPORATION,NULL,AIR TAXI/COMMUTER,NULL,765FA,0,0,NULL,NULL,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,3400,325,NULL,NULL
20120105000189I,05-JAN-12,SAINT PAUL ISLAND,AK,ST PAUL ISLAND,INCIDENT,MINOR,LANDING: ROLLOUT,SAAB,340,B,PENINSULA AIRWAYS INC,NULL,AIR CARRIER/COMMERCIAL,NULL,675PA,0,0,GE    ,CT7-SER      ,-9B   ,NULL,AIRLINE TRANSPORT,16000,4168,NULL,NULL
20120105000219I,05-JAN-12,SANTA ANA,CA,JOHN WAYNE AIRPORT-ORANGE COUNTY,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CE-172,CE-172-RG,NULL,NULL,GENERAL OPERATING RULES,NULL,6335V,0,0,LYCOMI,O&VO-360 SER ,NULL,1,NULL,NULL,NULL,NULL,NULL
20120105000399I,05-JAN-12,SPRINGFIELD,IL,ABRAHAM LINCOLN CAPITAL,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,PIPER,PA-28,PA-28-181,NULL,NULL,GENERAL OPERATING RULES,NULL,2182B,0,0,LYCOMI,O&VO-360 SER ,NULL,NULL,STUDENT,58,43,NULL,NULL
20120106001279I,06-JAN-12,GAINESVILLE,FL,GAINESVILLE RGNL,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CE-152,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,25513,0,0,LYCOMI,0-235 SERIES ,NULL,1,PRIVATE PILOT,110,90,NULL,NULL
20120106001331I,06-JAN-12,FORT PIERCE,FL,ST LUCIE COUNTY INTL,INCIDENT,MINOR,GROUND-RAMP,CESSNA,CE-150,CE-150-F,NULL,NULL,GENERAL OPERATING RULES,NULL,8159F,0,0,CONT M,0-200 SERIES ,NULL,1,STUDENT,185,120,NULL,NULL
20120106001349I,06-JAN-12,NEW SMYRNA BEACH,FL,NEW SMYRNA BEACH MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,320WJ,0,0,NULL,NULL,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,4085,1,NULL,NULL
20120107000249I,07-JAN-12,SAN LUIS OBISPO,CA,SAN LUIS COUNTY RGNL,INCIDENT,NONE,LANDING: ROLLOUT,PIPER,PA-28,PA-28-161,NULL,NULL,GENERAL OPERATING RULES,NULL,356ND,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,PRIVATE PILOT,135,135,NULL,NULL
20120107001029I,07-JAN-12,FREDERICKSBURG,PA,FARMERS PRIDE,INCIDENT,SUBSTANTIAL,GROUND-RAMP,NAVION,NAV-1,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,91601,0,1,CONT M,E185 SERIES  ,E185-9,1,NULL,NULL,1100,NULL,NULL
20120107002639I,07-JAN-12,FORT MYERS,FL,PAGE FIELD,INCIDENT,MINOR,LANDING: TOUCHDOWN,FLIGHT DESIGN,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,772CT,0,0,ROTAX ,912ULS       ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,7500,100,NULL,NULL
20120108000749I,08-JAN-12,HAWTHORNE,CA,JACK NORTHROP FIELD/HAWTHORNE MUNI,INCIDENT,SUBSTANTIAL,TAXI,CESSNA,CE-172,CE-172-N,NULL,NULL,GENERAL OPERATING RULES,NULL,3318E,0,0,LYCOMI,0-320 SERIES ,NULL,1,PRIVATE PILOT,600,203,NULL,NULL
20120110000259I,10-JAN-12,NEWTON,IA,NEWTON MUNI,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-28R,PA-28R-180,NULL,NULL,GENERAL OPERATING RULES,NULL,3924T,0,0,LYCOMI,I0360 SER    ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1767,542,NULL,NULL
20120110000309I,10-JAN-12,AMARILLO,TX,RICK HUSBAND AMARILLO INTL,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-172,CE-172-N,NULL,NULL,GENERAL OPERATING RULES,NULL,75929,0,0,LYCOMI,0-320 SERIES ,NULL,1,PRIVATE PILOT,427,278,NULL,NULL
20120110000599I,10-JAN-12,SALEM,OH,SALEM AIRPARK INC,INCIDENT,MINOR,TAKEOFF: DEPARTURE,DIAMOND,DIAMOND-20,DIAMOND-20-C1,NULL,NULL,GENERAL OPERATING RULES,NULL,373AM,0,0,CONT M,IO-240-B     ,NULL,NULL,PRIVATE PILOT,550,20,NULL,NULL
20120110000689I,10-JAN-12,WAUKESHA,WI,WAUKESHA COUNTY,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-182,CE-182-R,NULL,NULL,GENERAL OPERATING RULES,NULL,738WK,0,0,LYCOMI,0-540 SERIES ,J3C5D ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1064,50,NULL,NULL
20120110000969I,10-JAN-12,NORTH PLATTE,NE,NORTH PLATTE RGNL AIRPORT LEE BIRD FIELD,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,RAYTHEON,BEECHJET 400,400-400A,FLIGHT OPTIONS LLC,NULL,AIR TAXI/COMMUTER,NULL,454LX,0,0,P&W CA,JT15D 5 SER  ,NULL,2,AIRLINE TRANSPORT,16140,6060,NULL,NULL
20120110001001I,10-JAN-12,SPRINGDALE,AR,SPRINGDALE MUNI,INCIDENT,MINOR,GROUND-RAMP,RAYTHEON,1900,C-1,AMERIFLIGHT LLC,NULL,AIR TAXI/COMMUTER,NULL,2049K,0,0,P&W   ,PT6A SER     ,NULL,2,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
20120110001039I,10-JAN-12,CORPUS CHRISTI,NULL,CORPUS CHRISTI INTL,INCIDENT,NONE,TAXI,BEECH,BE-19,BE-19-B,NULL,NULL,GENERAL OPERATING RULES,NULL,4358W,0,0,LYCOMI,0-360        ,0-360-,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,6530,15,NULL,NULL
20120110001109I,10-JAN-12,ALMA,GA,BACON COUNTY,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-28,PA-28-140,NULL,NULL,GENERAL OPERATING RULES,NULL,16472,0,1,LYCOMI,0-320        ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,28000,1500,NULL,NULL
20120111000209I,11-JAN-12,RICHFIELD,UT,RICHFIELD MUNI,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,8VX  ,0,0,AMA/EX,UNKNOWN ENG  ,NULL,NULL,PRIVATE PILOT,240,81,NULL,NULL
20120111001399I,11-JAN-12,COATESVILLE,PA,CHESTER COUNTY G O CARLSON,INCIDENT,MINOR,TAXI,SIKORSKI,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,CGNUA,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20120111001899I,11-JAN-12,ADDISON,TX,ADDISON,INCIDENT,MINOR,RUN-UP AREA,BEECH,BE-36,BE-36-A36,GTA AIR INC,NULL,AIR TAXI/COMMUTER,NULL,75AT ,0,0,CONT M,IO 520 SERIES,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,4200,1525,NULL,NULL
20120112000069I,12-JAN-12,CHARLESTON,WV,YEAGER,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CANADAIR-BOMBARDIER,CHALLENGER,600,PSA AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,226JS,0,0,GE    ,CF34 SERIES  ,NULL,NULL,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
20120112000559I,12-JAN-12,BERKELEY,WV,NULL,INCIDENT,NONE,CLIMB,BEECH,BE-23,BE-23-C23,NULL,NULL,GENERAL OPERATING RULES,NULL,9167S,0,0,LYCOMI,O-360 SER    ,O-360 ,1,COMMERCIAL PILOT,392,257,NULL,NULL
20120113000369I,13-JAN-12,BREMERTON,WA,BREMERTON NATIONAL,INCIDENT,MINOR,TAKEOFF: ROTATION,MOONEY,M-20,M-20-C,NULL,NULL,GENERAL OPERATING RULES,NULL,6903U,0,0,LYCOMI,O&VO-360 SER ,NULL,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,30000,1200,NULL,NULL
20120113000389I,13-JAN-12,FORT LAUDERDALE,FL,FORT LAUDERDALE EXECUTIVE,INCIDENT,MINOR,TAXI,GLASAIR,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,133GS,1,0,LYCOMI,0-320 SERIES ,NULL,1,COMMERCIAL PILOT,4000,50,NULL,NULL
20120113000419I,13-JAN-12,FORT PIERCE,FL,ST LUCIE COUNTY INTL,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,CESSNA,CE-310,CE-310-N,NULL,NULL,GENERAL OPERATING RULES,NULL,911MF,0,0,CONT M,I0-470 SERIES,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,9000,650,NULL,NULL
20120113000649I,13-JAN-12,OSHKOSH,WI,WITTMAN RGNL,INCIDENT,MINOR,LANDING: TOUCHDOWN,GULSTM,GA-690,GA-690-A,NULL,NULL,GENERAL OPERATING RULES,NULL,32WS ,0,0,AIRESE,TPE331 SERIES,NULL,2,COMMERCIAL PILOT,3244,2500,NULL,NULL
20120113001089I,13-JAN-12,ASHLAND,KY,ASHLAND RGNL,INCIDENT,MINOR,LANDING: ROLLOUT,LANCAIR,LC-235,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,67MW ,0,0,LYCOMI,0-320 SERIES ,NULL,NULL,PRIVATE PILOT,3000,350,NULL,NULL
20120113001329I,13-JAN-12,SULLIVAN,IN,SULLIVAN COUNTY,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-46,PA-46-310P,NULL,NULL,GENERAL OPERATING RULES,NULL,9095S,0,0,P&W CA,PT6A-21      ,NULL,NULL,PRIVATE PILOT,999,77,NULL,NULL
20120113002399I,13-JAN-12,NULL,CA,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,SNIAS,AS-350,NULL,MOUNTAIN AIR HELICOPTERS INC,NULL,ROTORCRAFT EXTERNAL LOAD OPERATIONS,NULL,127DE,0,0,TURBOM,ARRIUS 2B    ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20120114000179I,14-JAN-12,SAINT CLOUD,FL,NULL,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,HUGHES,HU-269,HU-269-C1,BRISTOW ACADEMY,NULL,PILOT SCHOOLS,NULL,1868S,0,0,LYCOMI,HIO-360 SER  ,G1A   ,NULL,PRIVATE PILOT,138,25,NULL,NULL
20120114000339I,14-JAN-12,SEATTLE,WA,BOEING FIELD/KING COUNTY INTL,INCIDENT,MINOR,TAKEOFF: ROTATION,CESSNA,CE-172,CE-172-RG,WINGS ALOFT INC,NULL,GENERAL OPERATING RULES,NULL,6141R,0,0,LYCOMI,O&VO-360 SER ,NULL,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,5200,200,NULL,NULL
20120114001159I,14-JAN-12,GROVELAND,FL,NULL,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,PIPER,PA-J5,PA-J5-A,NULL,NULL,GENERAL OPERATING RULES,NULL,38130,0,0,CONT M,A&C75 SERIES ,C85-12,1,PRIVATE PILOT,1193,367,NULL,NULL
20120114002359I,14-JAN-12,WINNEMUCCA,NV,WINNEMUCCA MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-28,PA-28-180,NULL,NULL,GENERAL OPERATING RULES,NULL,8231W,0,0,LYCOMI,O&VO-360 SER ,NULL,NULL,STUDENT,70,70,NULL,NULL
20120115001099I,15-JAN-12,KEY WEST,FL,KEY WEST INTL,INCIDENT,MINOR,LANDING: TOUCHDOWN,VELOCITY,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,22UD ,0,0,LYCOMI,IO-540-D4B5  ,NULL,NULL,PRIVATE PILOT,NULL,NULL,NULL,NULL
20120116000829I,16-JAN-12,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTL,INCIDENT,MINOR,TAKEOFF: DEPARTURE,RAYTHEON,1900,C-1,ALASKA CENTRAL EXPRESS INC,NULL,AIR TAXI/COMMUTER,NULL,113AX,0,0,P&W CA,PT6A-60A     ,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,8600,4000,NULL,NULL
20120117000609I,17-JAN-12,EDEN PRAIRIE,MN,FLYING CLOUD,INCIDENT,NONE,TAKEOFF: CLIMB OUT,GULSTM,GA-500,GA-500-B,CENTRAL AIR SOUTHWEST INC,NULL,AIR TAXI/COMMUTER,NULL,444CA,0,0,LYCOMI,TI0-540 SER  ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2100,697,NULL,NULL
20120117001389I,17-JAN-12,LIME VILLAGE,AK,LIME VILLAGE,INCIDENT,MINOR,TAXI,CESSNA,CE-185,CE-185-F,BIDZY TA HOT AANA CORP,NULL,AIR TAXI/COMMUTER,NULL,866CS,0,0,CONT M,IO 520 SERIES,NULL,1,NULL,NULL,NULL,NULL,NULL
20120117001789I,17-JAN-12,EASTMAN,GA,HEART OF GEORGIA RGNL,INCIDENT,MINOR,TAKEOFF: DEPARTURE,PIPER,PA-28R,PA-28R-201,MIDDLE GEORGIA STATE COLLEGE,NULL,PILOT SCHOOLS,NULL,820HG,0,0,LYCOMI,I0360 SER    ,C1C6  ,NULL,PRIVATE PILOT FLIGHT INSTRUCTOR,630,100,NULL,NULL
20120117002349I,17-JAN-12,BERRYTON,KS,NULL,INCIDENT,MINOR,OTHER-SPECIFY,CESSNA,CE-177,CE-177-A,NULL,NULL,GENERAL OPERATING RULES,NULL,2983X,0,0,LYCOMI,O&VO-360 SER ,UNKNOW,1,PRIVATE PILOT FLIGHT INSTRUCTOR,NULL,NULL,NULL,NULL
20120118000229I,18-JAN-12,PHOENIX,AZ,PHOENIX DEER VALLEY,INCIDENT,MINOR,TAXI,PIPER,PA-28,PA-28-181,FLIGHT QUEST AVIATION INC,NULL,PILOT SCHOOLS,NULL,442PA,0,0,LYCOMI,O-360 SERIES ,NULL,NULL,STUDENT,57,57,NULL,NULL
20120118001949I,18-JAN-12,VIDALIA,GA,VIDALIA RGNL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,GULSTM,GA-690,GA-690-B,NULL,NULL,GENERAL OPERATING RULES,NULL,55WJ ,0,0,AIRESE,TPE331-5&6SER,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2000,82,NULL,NULL
20120119000359I,19-JAN-12,LOS ANGELES,CA,LOS ANGELES INTL,INCIDENT,MINOR,TAKEOFF: DEPARTURE,EMBRAER,ERJ-135,KL,AMERICAN EAGLE AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,848AE,0,0,ROLLS-,AE3007 SER   ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20120119000429I,19-JAN-12,BIG BEND,WI,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CESSNA,CE-152,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,4723B,0,0,LYCOMI,0-235 SERIES ,O-235-,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1082,151,NULL,NULL
20120119001219I,19-JAN-12,LANCASTER,PA,LANCASTER,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-30,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,114RS,0,0,LYCOMI,IO-320 SERIES,NULL,NULL,PRIVATE PILOT,NULL,1000,NULL,NULL
20120119001909I,19-JAN-12,TULSA,OK,RICHARD LLOYD JONES JR,INCIDENT,MINOR,LANDING: TOUCHDOWN,BEECH,BE-76,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,6045M,0,0,LYCOMI,O&VO-360 SER ,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,2900,135,NULL,NULL
20120120000569I,20-JAN-12,EDENTON,NC,NORTHEASTERN RGNL,INCIDENT,MINOR,LANDING: TOUCHDOWN,MOONEY,M-20,M-20-J,NULL,NULL,GENERAL OPERATING RULES,NULL,5608Y,0,0,LYCOMI,I0360 SER A&C,NULL,1,PRIVATE PILOT,850,310,NULL,NULL
20120120000989I,20-JAN-12,FORT STOCKTON,TX,FORT STOCKTON-PECOS COUNTY,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-34,PA-34-200T,NULL,NULL,GENERAL OPERATING RULES,NULL,47864,0,0,CONT M,TSIO-360 SER ,NULL,NULL,PRIVATE PILOT,3000,30,NULL,NULL
20120121000239I,21-JAN-12,GLENDALE,AZ,GLENDALE MUNI,INCIDENT,MINOR,GROUND-RAMP,NANCHNG,CJ-6,CJ-6-A,NULL,NULL,GENERAL OPERATING RULES,NULL,620DM,0,0,VENDEN,M14P         ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,19500,789,NULL,NULL
20120121000699I,21-JAN-12,GOODYEAR,AZ,PHOENIX GOODYEAR,INCIDENT,MINOR,TAKEOFF: DEPARTURE,BEECH,BE-33,BE-33-F33A,NULL,NULL,GENERAL OPERATING RULES,NULL,5521A,0,0,CONT M,IO 520 SERIES,NULL,1,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3500,650,NULL,NULL
20120121000719I,21-JAN-12,CAREFREE,AZ,SKY RANCH AT CAREFREE,INCIDENT,MINOR,GROUND-RAMP,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,998SP,0,1,N/A   ,N/A          ,N/A   ,NULL,COMMERCIAL PILOT,2850,30,NULL,NULL
20120121001359I,21-JAN-12,KETCHIKAN,AK,NULL,INCIDENT,MINOR,LANDING: ROLLOUT,LEARJET-BOMBARDIER,LEARJET 35,A,GUARDIAN FLIGHT INC,NULL,GENERAL OPERATING RULES,NULL,81MR ,0,0,GARRET,TFE 731 SER  ,NULL,2,NULL,NULL,NULL,NULL,NULL
20120121001539I,21-JAN-12,DAVENPORT,IA,DAVENPORT MUNI,INCIDENT,SUBSTANTIAL,OTHER-SPECIFY,CESSNA,CE-172,CE-172-RG,NULL,NULL,GENERAL OPERATING RULES,NULL,473KP,0,0,LYCOMI,O&VO-360 SER ,NULL,1,COMMERCIAL PILOT,1300,20,NULL,NULL
20120122000439I,22-JAN-12,CLEARWATER,FL,ST PETERSBURG-CLEARWATER INTL,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-12,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,7972H,0,0,LYCOMI,0-235 SERIES ,NULL,NULL,PRIVATE PILOT,3926,840,NULL,NULL
20120122000909I,22-JAN-12,CAMARILLO,CA,CAMARILLO,INCIDENT,MINOR,TAKEOFF: ROTATION,CESSNA,CE-421,CE-421-B,NULL,NULL,GENERAL OPERATING RULES,NULL,13HL ,0,0,CONT M,GTSIO-520 SER,NULL,2,AIRLINE TRANSPORT,17500,140,NULL,NULL
20120122001919I,22-JAN-12,LEONARDTOWN,MD,ST. MARY'S COUNTY RGNL,INCIDENT,SUBSTANTIAL,GROUND-RAMP,BLANCA,BL-17,BL-17-30A,NULL,NULL,GENERAL OPERATING RULES,NULL,711LA,0,1,CONT M,IO 520 SERIES,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20120123001019I,23-JAN-12,BALTIMORE,MD,BALTIMORE/WASHINGTON INTL THURGOOD MARSHAL,INCIDENT,MINOR,LANDING: TOUCHDOWN,EMBRAER,ERJ-145,LR,ATLANTIC SOUTHEAST AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,15986,0,0,ALLISO,AE 3007A     ,NULL,NULL,AIRLINE TRANSPORT,5300,4642,NULL,NULL
20120123001369I,23-JAN-12,PORT ORANGE,FL,SPRUCE CREEK,INCIDENT,MINOR,LANDING: TOUCHDOWN,TECNAM,NULL,NULL,HEART OF VIRGINA AVIATION,NULL,GENERAL OPERATING RULES,NULL,208TA,0,0,ROTAX ,912ULS       ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2250,50,NULL,NULL
20120124000349I,24-JAN-12,HENDERSON,NV,HENDERSON EXECUTIVE,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-34,PA-34-200T,MONARCH SKY LLC,NULL,PILOT SCHOOLS,NULL,8131B,0,0,CONT M,TSIO-360 SER ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,6307,340,NULL,NULL
20120124000579I,24-JAN-12,NULL,FL,NORTH PALM BEACH COUNTY GENERAL AVIATION,INCIDENT,MINOR,LANDING: APPROACH,CESSNA,CE-210,CE-210-T210L,NULL,NULL,GENERAL OPERATING RULES,NULL,21HF ,0,0,CONT M,TSIO-520 SER ,NULL,1,PRIVATE PILOT,250,NULL,NULL,NULL
