aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20120101000129I,01-JAN-12,ZEPHYRHILLS,FL,ZEPHYRHILLS MUNI,INCIDENT,NONE,OTHER-SPECIFY,NULL,NULL,NULL,NULL,NULL,PARACHUTE JUMPING,NULL,NONE ,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20120101006479I,01-JAN-12,PERKASIE,PA,PENNRIDGE,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,BEECH,BE-33,BE-33-F33A,NULL,NULL,GENERAL OPERATING RULES,NULL,6733Y,0,0,CONT M,IO 520 SERIES,NULL,1,PRIVATE PILOT,976,755,NULL,NULL
20120102000039I,02-JAN-12,OCALA,FL,JUMBOLAIR-GREYSTONE,INCIDENT,MINOR,LANDING: TOUCHDOWN,PIPER,PA-22,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,3336A,0,0,LYCOMI,0-290 SERIES ,NULL,NULL,PRIVATE PILOT,890,60,NULL,NULL
20120102000079I,02-JAN-12,LANSING,IL,LANSING MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,MOONEY,M-20,M-20-J,NULL,NULL,GENERAL OPERATING RULES,NULL,201AD,0,0,LYCOMI,I0360 SER    ,NULL,1,PRIVATE PILOT,614,85,NULL,NULL
20120102000169I,02-JAN-12,DEL NORTE,CO,ASTRONAUT KENT ROMINGER,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-18,PA-18-135,NULL,NULL,GENERAL OPERATING RULES,NULL,9952Q,0,0,NULL,NULL,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,9032,800,NULL,NULL
20120102000459I,02-JAN-12,ATLANTA,GA,DEKALB-PEACHTREE,INCIDENT,MINOR,LANDING: TOUCHDOWN,BEECH,BE-95,BE-95-B95,NULL,NULL,GENERAL OPERATING RULES,NULL,246RC,0,0,CONT M,IO 520 SERIES,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,6700,12,NULL,NULL
20120102000479I,02-JAN-12,SAINT LOUIS,MO,LAMBERT-ST LOUIS INTL,INCIDENT,MINOR,DESCENT,BEECH,BE-58,BE-58-P,NULL,NULL,GENERAL OPERATING RULES,NULL,77LV ,0,0,CONT M,TSIO-520 SER ,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,11800,48,NULL,NULL
20120102000659I,02-JAN-12,VIENNA,OH,YOUNGSTOWN-WARREN RGNL,INCIDENT,MINOR,TAXI,MCDONNELL-DOUGLAS-BOEING,MD-80,83,ALLEGIANT AIR LLC,NULL,AIR CARRIER/COMMERCIAL,NULL,862GA,0,0,P & W ,JT8D SERIES  ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,NULL,NULL,NULL,NULL
20120102003219I,02-JAN-12,TULSA,OK,HARVEY YOUNG,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,154RS,0,0,ROTAX ,582          ,SEE BO,NULL,NULL,544,544,NULL,NULL
20120103000029I,03-JAN-12,YAKIMA,WA,YAKIMA AIR TERMINAL/MCALLISTER FIELD,INCIDENT,MINOR,LANDING: APPROACH,DE HAVILLAND-BOMBARDIER,DASH 8,NULL,HORIZON AIR INDUSTRIES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,405QX,0,0,P&W CA,PW150A       ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
